机构,信号类型,信号内容,原文证据,来源链接,来源日期,来源类型,置信度
智谱 Zhipu,招聘,招聘数据标注/AI训练师（多模态数据标注、质检、合规），面向硕士在读,“对文本、图像、语音、视频等多模态数据按规范标注，执行数据质量把控”,https://www.liepin.com/zpzpaipjo7bw/,2026,招聘平台/搜索摘要（岗位归属需核实）,低
月之暗面 Kimi,招聘,招聘强化学习-大模型算法工程师/研究员（RL方向，40-70k），Agent RL、Agent数据算法岗,“强化学习-大模型算法工程师/研究员（RL方向）…参与大模型及智能体（Agent）的核心算法研发”,https://m.zhipin.com/companys/89f959974af368f703R40tq1F1A~.html,2026,招聘平台/搜索摘要,低
腾讯 混元,招聘,混元后训练岗覆盖Reward System、User Feedback RM、Coding、Agent、Deep-research等，含RL方向,“后训练方向涉及指令微调、Reward System、User Feedback RM、Coding、Agent、Deep-research…”,https://jobs.niuqizp.com/job-vmU55NnaZ.html,2025-2026,招聘平台/搜索摘要,低
字节 Seed,招聘,Seed 2027届基础模型校招开放（含后训练/强化学习系统方向）,“Seed 2027 foundation model campus recruitment program…”；方向含post-training、foundation model reinforcement systems,https://seed.bytedance.com/en/blog/bytedance-seed-2027-foundation-model-campus-recruitment-is-now-open-internships-included,2026,官方博客/搜索摘要,低
百度 文心,自建专家平台,百度数据众包平台（1700万用户）与百度众测“服务商招募”——自有标注供应链，也对外招募服务商,众包平台“累计1700万用户…”；众测平台页面“服务商招募”,https://test.baidu.com/mark/home/newRecruit,未知,官方平台页/搜索摘要,低
网易 伏羲,自建专家平台,网易有灵众包平台：人机协作数据标注平台，定位为大模型高质量数据与人类对齐解决方案（兼为潜在竞品/渠道）,“致力于打造生成式AI高质量数据解决方案…协助大模型厂商解决…问题”,https://fuxi.163.com/productDetail/zb,未知（2024-2025）,官方产品页/搜索摘要,低
百川智能,模型发布(RL/Agent),Baichuan-M3（2026-01）Fact-Aware RL，强调顶级医生定义评测标准；2026-05发布M4,“由顶级医生定义标准而非简单标注数据”；“Fact-Aware RL…将医学事实核验融入每一轮奖惩”,https://www.huxiu.com/article/4826082.html,2026-01,媒体报道/搜索摘要,低
零一万物,公开表态,万智2.5企业级多智能体，自研RL基于企业生产反馈持续学习；判断2026为“多智能体上岗元年”,“基于数据反馈的强化学习…从企业专业生产流程中的正负反馈中持续学习”,https://www.infoq.cn/news/8lkAlTOp8etL1u8LGmxq,2026-01,媒体报道/搜索摘要,低
面壁智能,招聘,招聘大模型评测算法工程师（2026）,职位名：“面壁智能2026年大模型评测算法工程师(A123687)”,https://www.zhipin.com/job_detail/96369a99a7ccafbc0nZ62966EFpZ.html,2026,招聘平台/搜索摘要（仅标题）,低
昆仑万维 Skywork,招聘,2050研究院RL方向招聘（熟悉verl/OpenRLHF等）,“熟悉大模型和RLHF的常见训练框架，例如Deepspeed、Megatron、Verl、Openrlhf”,https://zhuanlan.zhihu.com/p/28540665501,2025,知乎招聘帖/搜索摘要,低
华为 盘古/诺亚,招聘,诺亚决策推理团队：大模型自演进、RLHF、LLM-based Agent，对接盘古；盘古5.5 DeepDiver用长链难题合成与渐进式奖励,“主要研究方向包括大模型自演进、强化学习RLHF、LLM-based Agent…业务对接自研盘古大模型”,https://zhuanlan.zhihu.com/p/681153032,2024（帖已失效）,知乎招聘帖/搜索摘要,低
商汤 日日新,其他,2026-07 启动“无限原力”顶尖人才计划；日日新采用种子数据SFT+多轮RL,“商汤科技「无限原力」顶尖人才计划招募启动”,https://job.lzu.edu.cn/html/22/article/2026/90270.html,2026-07,高校就业网/搜索摘要（信号弱）,低
京东 JoyAI,采购/招标,2026-09-09 京东公布数据基建：京东云1000万小时人类数据采集，建“采存标训评仿测”具身数据基础设施（大规模数据采集/标注需求，也可能自建）,“京东云进行1000万小时人类最大规模数据采集行动，建设了覆盖‘采、存、标、训、评、仿、测’全流程的具身数据基础设施”,https://www.yicai.com/news/102743698.html,2026-09（搜索摘要称）,媒体报道/搜索摘要（URL为2025 JoyAI发布稿，2026信息可能来自其他页）,低
中国联通,采购/招标,“2026年福州联通大模型微调数据清洗及标[注]”项目公告（仅在搜索摘要中提及，未见原文）,摘要：“2026年福州联通大模型微调数据清洗及标”,https://www.tvoao.com/a/223487.aspx,2026,搜索摘要（链接非公告原文，需在联通招标网核实）,低
中国移动/中国电信/联通,采购/招标,2025年四大运营商“数据要素”公开市场总中标超10.47亿；运营商既是数据服务卖方也有数据采购需求,标题：“四大运营商2025年‘数据要素’公开市场总中标金额超10.47亿，联通反超电信14.4%”,https://www.tvoao.com/a/223487.aspx,2026初,媒体报道/搜索摘要,低
中国电信 星辰/TeleAI,公开表态,天翼AI构建超10万亿Tokens高质量数据集（数据体系建设投入大）,标题：“超10万亿Tokens的高质量数据集是怎么炼成的？专访中国电信天翼AI阮宜龙”,https://www.qbitai.com/2025/09/336479.html,2025-09,媒体报道/搜索摘要（仅标题）,低
招商银行/平安（金融）,采购/招标,中国银行2026软件中心大模型技术服务招标（500人天），要求具备招行/平安等大行大模型建设案例；股份行以“外部引入+工程改造”为主,“要求投标人具备招商银行或平安银行等大行大模型平台建设或应用场景开发案例，需求500人天”,https://security.zone.ci/secarticles/wx/486286.html,2026,转载公众号/搜索摘要,低
智元机器人,自建专家平台,上海4000+平米数据采集工厂，日产3-5万条高质量数据（自建为主，可能外采标注/仿真环境）,“智元机器人在上海投建超4000平米的数据采集工厂，日均可产出3万-5万条高质量数据”,https://news.qq.com/rain/a/20260603A07KSA00,2026-06,媒体报道/搜索摘要,低
银河通用/灵初等具身,其他,具身企业大额融资重点投向大规模数据采集体系（灵初20亿元）；行业认为需万亿级数据,“资金重点投向…以及大规模数据采集体系”,https://m.jiemian.com/article/14531147.html,2026-06,媒体报道/搜索摘要,低
阿里 通义,招聘,通义实验室官方招聘站 Token Foundry（careers-tongyi），未检索到具体专家数据/RL环境岗,官网标题“Token Foundry招聘官网”,https://careers-tongyi.alibaba.com/,2026,官方招聘站/搜索摘要（信号弱）,低
