投资方,被投公司,轮次或说明,原文证据,来源链接,来源日期,置信度
Decibel Ventures,Veris AI,种子轮 850 万美元,$8.5M in seed funding led by Decibel Ventures and Acrew Capital（搜索摘要）,https://www.businesswire.com/news/home/20250603868539/en/Veris-AI-Emerges-from-Stealth-with-$8.5M-to-Train-AI-Agents-Using-Simulated-Experience-Removing-Roadblocks-to-Enterprise-Adoption,2025-06-03,高
Dell (Dell Technologies Capital),Prime Intellect,A 轮跟投,"led by Radical Ventures with Nvidia Ventures, Intel Capital, Dell Technologies Capital, and Iconiq.（搜索摘要）",https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,2026-07-08,中
EXL,iMerit,EXL 以最高 3.1 亿美元收购 iMerit（被收购方）,EXL ... announced a definitive agreement to acquire iMerit,https://ir.exlservice.com/news-releases/news-release-details/exl-acquire-imerit-advancing-its-leadership-enterprise-ai-adding,2026-06-24,高
Elad Gil,Applied Compute,洽谈中 $350M 轮，估值约 $3B,Applied Compute in Talks for $3B Round Led by Elad Gil（搜索摘要）,https://aiweekly.co/alerts/applied-compute-in-talks-for-3b-round-led-by-elad-gil,2026-08,低
Emergence Capital,Arga Labs,种子轮投资（$10M）,"General Catalyst led Arga's seed round, with BoxGroup, Emergence, Gradient and SV Angel participating（搜索摘要）",https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,2026-08-26,中
Episode 1 Ventures（领投）,Poindexter Labs,£2M 种子轮,"The round was led by Episode 1, with participation from Yvonne Bajela's Evertrue Capital and Octopus Ventures' First Cheque Fund（搜索摘要）",https://tech.eu/2026/06/02/poindexter-labs-raises-ps2m-to-improve-training-data-for-advanced-ai/,2026-06-02,中
Evertrue Capital,Poindexter Labs,£2M 种子轮,"The round was led by Episode 1, with participation from Yvonne Bajela's Evertrue Capital and Octopus Ventures' First Cheque Fund（搜索摘要）",https://tech.eu/2026/06/02/poindexter-labs-raises-ps2m-to-improve-training-data-for-advanced-ai/,2026-06-02,中
Every,Good Start Labs,由 Every 孵化分拆（spin-out）,"a 2025 Every spin-out building game-based RL environments (AI Diplomacy/Diplomacy Arena, LOL Arena)（搜索摘要）",https://www.rl-list.com/vendors/good-start-labs,2026,低
Future Value Capital,Abaka AI,A轮800万美元，累计2000万美元,Total funding has reached $20 million from investors like Spinel Capital and Future Value Capital,https://finance.yahoo.com/sectors/technology/articles/abaka-ai-secures-8m-expand-140242975.html,2025/2026（未核）,高
GV（Google 风投）,Snorkel AI,$350M E 轮，估值 $3.5B,"co-led by Insight Partners and S32, with significant participation from existing investors Addition, Greylock, Lightspeed, GV ... Wells Fargo（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-raises-350m-to-scale-the-data-factory-for-frontier-ai-302886796.html,2026-09-22,高
General Catalyst（领投）,Arga Labs,种子轮投资（$10M）,"General Catalyst led Arga's seed round, with BoxGroup, Emergence, Gradient and SV Angel participating（搜索摘要）",https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,2026-08-26,中
Google DeepMind,AfterQuery,A 轮天使跟投,"participation from The Raine Group, Y Combinator, Latitude Capital, BoxGroup, and angels from Google DeepMind, OpenAI, Anthropic, Meta Superintelligence Labs, and Microsoft AI.（搜索摘要）",https://www.businesswire.com/news/home/20260409469482/en/AfterQuery-Raises-$30-Million-Series-A-Round-at-$300-Million-Valuation,2026-04-09,高
Google DeepMind,Datacurve,A 轮天使跟投,"$15 million Series A in October 2025 led by Mark Goldberg at Chemistry, with participation from employees at DeepMind, Vercel, Anthropic and OpenAI.（搜索摘要）",https://homebrew.co/blog/2025/10/10/datacurve-raises-usd15-million-to-deliver-frontier-coding-data-to-help-ai-model-companies-solve-complex-problems,2025-10-10,中
Google DeepMind,Proximal,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,低
Gradient Ventures,Arga Labs,种子轮投资（$10M）,"General Catalyst led Arga's seed round, with BoxGroup, Emergence, Gradient and SV Angel participating（搜索摘要）",https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,2026-08-26,中
Greylock,Snorkel AI,$350M E 轮，估值 $3.5B,"co-led by Insight Partners and S32, with significant participation from existing investors Addition, Greylock, Lightspeed, GV ... Wells Fargo（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-raises-350m-to-scale-the-data-factory-for-frontier-ai-302886796.html,2026-09-22,高
HRT Ventures (Hudson River Trading),Vals AI,A 轮跟投,alongside new institutional investors HRT Ventures and Next Ladder Ventures（搜索摘要）,https://www.kucoin.com/news/flash/ai-model-evaluation-startup-vals-secures-40m-a-round-led-by-a16z,2026-08,低
Hudson River Trading,Gray Swan AI,A 轮 $40M 跟投,"co-led by Wing Venture Capital and Madrona. Obvious Ventures, Snowflake Ventures, Hudson River Trading, Samsung Next ... also participated（搜索摘要）",https://www.finsmes.com/2026/06/gray-swan-raises-40m-in-series-a-funding.html,2026-06,中
ICONIQ Capital,Adaptive ML,$20M 种子轮跟投,led by Index Ventures along with ICONIQ Capital（搜索摘要）,https://www.businesswire.com/news/home/20240312461522/en/Adaptive-ML-Raises-$20M-to-Help-Companies-Build-Unique-GenAI-Experiences,2024-03-12,高
Index Ventures,Adaptive ML,$20M 种子轮领投,Adaptive ML raised $20M in seed funding led by Index Ventures along with ICONIQ Capital（搜索摘要）,https://www.businesswire.com/news/home/20240312461522/en/Adaptive-ML-Raises-$20M-to-Help-Companies-Build-Unique-GenAI-Experiences,2024-03-12,高
Index Ventures,Matrices,种子轮约 500 万美元,"backed by Index Ventures, AI Grant (Nat Friedman & Daniel Gross), and Naval Ravikant（搜索摘要）",https://www.crunchbase.com/organization/matrices-f9d0,2024-03,低
Insight Partners（联合领投）,Snorkel AI,$350M E 轮，估值 $3.5B,"co-led by Insight Partners and S32, with significant participation from existing investors Addition, Greylock, Lightspeed, GV ... Wells Fargo（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-raises-350m-to-scale-the-data-factory-for-frontier-ai-302886796.html,2026-09-22,高
Intel (Intel Capital),Prime Intellect,A 轮跟投,"led by Radical Ventures with Nvidia Ventures, Intel Capital, Dell Technologies Capital, and Iconiq.（搜索摘要）",https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,2026-07-08,中
Jeff Dean（Google，个人天使）,Bespoke Labs,种子轮个人天使投资,"seed round led by 8VC, with participation from Jeff Dean, Resolve AI CEO Spiros Xanthos, DevRev CEO Dheeraj Pandey（搜索摘要）",https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,2026-07-06,高
KIP中国（领投）,龙猫数据,Pre-B轮3300万元,获3300万元Pre-B轮融资，KIP中国领投,https://m.pedaily.cn/news/451946,未核（早于2024）,低
Kleiner Perkins,Applied Compute,2026-04 $80M 轮，估值 $1.3B,priced at $1.3 billion in an $80 million April round led by Kleiner Perkins（搜索摘要）,https://www.forbes.com/sites/richardnieva/2026/09/01/applied-compute-openai-the-ex-openai-guys-building-cheaper-open-source-alternative/,2026-09-01,中
Lightspeed,Snorkel AI,$350M E 轮，估值 $3.5B,"co-led by Insight Partners and S32, with significant participation from existing investors Addition, Greylock, Lightspeed, GV ... Wells Fargo（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-raises-350m-to-scale-the-data-factory-for-frontier-ai-302886796.html,2026-09-22,高
Menlo Ventures,Fleet,融资,"the company is supported by Sequoia Capital, Menlo Ventures, and SV Angel（搜索摘要）",https://sacra.com/c/fleet/,2026,低
Mercor（Brendan Foody 天使）,Deeptune,A 轮天使,"angels including Noam Brown (Research, OpenAI), Brendan Foody (CEO, Mercor), and Yash Patil (CEO, Applied Compute).（搜索摘要）",https://deeptune.com/blog/series-a/,2026-03,中
Meta,AfterQuery,A 轮天使跟投,"participation from The Raine Group, Y Combinator, Latitude Capital, BoxGroup, and angels from Google DeepMind, OpenAI, Anthropic, Meta Superintelligence Labs, and Microsoft AI.（搜索摘要）",https://www.businesswire.com/news/home/20260409469482/en/AfterQuery-Raises-$30-Million-Series-A-Round-at-$300-Million-Valuation,2026-04-09,高
Meta,Bespoke Labs,A 轮个人天使投资,"Series A ... with participation from Mayfield, The House Fund, dbt Labs CEO Tristan Handy, and other angels from Anthropic, OpenAI, and Meta（搜索摘要）",https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,2026-07-06,高
Meta,Bespoke Labs,A 轮个人天使投资,"Backed by Anthropic, OpenAI, and Meta insiders, Bespoke Labs raises $40M（搜索摘要）",https://techfundingnews.com/backed-by-anthropic-openai-and-meta-insiders-bespoke-labs-raises-40m-can-better-environments-beat-bigger-models/,2026-07,中
Meta,Proximal,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,低
Meta,Scale AI,49% 股权投资；语音标注等,Meta invested $14.3 billion into Scale AI and acquired a 49% stake,https://www.forbes.com/sites/janakirammsv/2025/06/23/meta-invests-14-billion-in-scale-ai-to-strengthen-model-training/,2025-06-23,中
Meta,Scale AI,以 143 亿美元取得 49% 股权并扩大商业合作,Meta invested $14.3 billion into Scale AI and took a 49% stake,https://www.cnbc.com/2025/06/18/openai-is-winding-down-its-work-with-scale-ai-founder-is-joining-meta.html,2025-06-18,高
Microsoft,AfterQuery,A 轮天使跟投,"participation from The Raine Group, Y Combinator, Latitude Capital, BoxGroup, and angels from Google DeepMind, OpenAI, Anthropic, Meta Superintelligence Labs, and Microsoft AI.（搜索摘要）",https://www.businesswire.com/news/home/20260409469482/en/AfterQuery-Raises-$30-Million-Series-A-Round-at-$300-Million-Valuation,2026-04-09,高
Mikhail Parakhin（Shopify CTO）,Toloka,领投 7200 万美元，Parakhin 任执行董事长,Bezos Expeditions is leading a $72-million investment,https://nebius.com/newsroom/nebius-welcomes-bezos-expeditions-as-lead-investor-in-ai-data-business-toloka,2025-05,高
Mikhail Parakhin（个人，任董事长）,Toloka,$72M 战略投资（Bezos Expeditions 领投）,"led by Bezos Expeditions ... with participation from Mikhail Parakhin, CTO of Shopify",https://nebius.com/newsroom/nebius-welcomes-bezos-expeditions-as-lead-investor-in-ai-data-business-toloka,2025-05-07,高
NVIDIA,Gretel,被 NVIDIA 收购（九位数）；Gretel Data Designer 生成 Nemotron-Personas 合成数据,"NVIDIA completed the acquisition of Gretel, a synthetic data startup in March 2025",https://techcrunch.com/2025/03/19/nvidia-reportedly-acquires-synthetic-data-startup-gretel,2025-03-19,中
NVIDIA,Mercor,洽谈以 200 亿美元估值入股,Nvidia is in talks to invest in AI data labeling firm Mercor,https://dealroom.co/news/146079-nvidia-in-talks-to-back-mercor-at-20b-valuation/,2026-08,中
NVIDIA,Prime Intellect,A 轮 1.3 亿美元跟投,"$130 million Series A at a $1 billion valuation... led by Radical Ventures with Nvidia Ventures, Intel Capital, Dell Technologies Capital, and Iconiq.（搜索摘要）",https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,2026-07-08,中
Naval Ravikant,Matrices,种子轮约 500 万美元,"backed by Index Ventures, AI Grant (Nat Friedman & Daniel Gross), and Naval Ravikant（搜索摘要）",https://www.crunchbase.com/organization/matrices-f9d0,2024-03,低
Nebius Group（母公司/大股东）,Toloka,$72M 战略投资（Bezos Expeditions 领投）,"led by Bezos Expeditions ... with participation from Mikhail Parakhin, CTO of Shopify",https://nebius.com/newsroom/nebius-welcomes-bezos-expeditions-as-lead-investor-in-ai-data-business-toloka,2025-05-07,高
Octopus Ventures First Cheque Fund,Poindexter Labs,£2M 种子轮,"The round was led by Episode 1, with participation from Yvonne Bajela's Evertrue Capital and Octopus Ventures' First Cheque Fund（搜索摘要）",https://tech.eu/2026/06/02/poindexter-labs-raises-ps2m-to-improve-training-data-for-advanced-ai/,2026-06-02,中
OpenAI,AfterQuery,A 轮天使跟投,"participation from The Raine Group, Y Combinator, Latitude Capital, BoxGroup, and angels from Google DeepMind, OpenAI, Anthropic, Meta Superintelligence Labs, and Microsoft AI.（搜索摘要）",https://www.businesswire.com/news/home/20260409469482/en/AfterQuery-Raises-$30-Million-Series-A-Round-at-$300-Million-Valuation,2026-04-09,高
OpenAI,Bespoke Labs,A 轮个人天使投资,"Backed by Anthropic, OpenAI, and Meta insiders, Bespoke Labs raises $40M（搜索摘要）",https://techfundingnews.com/backed-by-anthropic-openai-and-meta-insiders-bespoke-labs-raises-40m-can-better-environments-beat-bigger-models/,2026-07,中
OpenAI,Datacurve,A 轮天使跟投,"$15 million Series A in October 2025 led by Mark Goldberg at Chemistry, with participation from employees at DeepMind, Vercel, Anthropic and OpenAI.（搜索摘要）",https://homebrew.co/blog/2025/10/10/datacurve-raises-usd15-million-to-deliver-frontier-coding-data-to-help-ai-model-companies-solve-complex-problems,2025-10-10,中
OpenAI,Deeptune,A 轮天使,"angels including Noam Brown (Research, OpenAI), Brendan Foody (CEO, Mercor), and Yash Patil (CEO, Applied Compute).（搜索摘要）",https://deeptune.com/blog/series-a/,2026-03,中
OpenAI,HUD,A 轮 1600 万美元天使,"$16M Series A led by Standard Capital... angel investments from Dylan Patel from SemiAnalysis, Roon from OpenAI, Ivan Burazin from Daytona, and Theo Browne.（搜索摘要）",https://www.hud.ai/blog/announcing-16m-series-a,2026,中
OpenAI,Proximal,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,低
Orange Collective,Cua,YC S25；$500K 种子,"$500K in seed funding from 468 Capital, Orange Collective, and Script Capital（搜索摘要）",https://startupintros.com/orgs/cua,2025,低
Pear VC,BenchFlow,$1M 种子轮,"$1M seed funding came in January 2025 from investors including YC, Pear, Construct, FAST-GETTYLAB, and Ankit Jain（搜索摘要）",https://www.startuphub.ai/startups/benchflow-ai,2025-01,低
Race Capital,Vmax,早期投资,Race Capital and South Park Commons have invested in Vmax（搜索摘要）,https://www.rl-list.com/vendors/vmax,未知,低
S32（联合领投）,Snorkel AI,$350M E 轮，估值 $3.5B,"co-led by Insight Partners and S32, with significant participation from existing investors Addition, Greylock, Lightspeed, GV ... Wells Fargo（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-raises-350m-to-scale-the-data-factory-for-frontier-ai-302886796.html,2026-09-22,高
SV Angel,Arga Labs,种子轮投资（$10M）,"General Catalyst led Arga's seed round, with BoxGroup, Emergence, Gradient and SV Angel participating（搜索摘要）",https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,2026-08-26,中
SV Angel,Fleet,融资,"the company is supported by Sequoia Capital, Menlo Ventures, and SV Angel（搜索摘要）",https://sacra.com/c/fleet/,2026,低
Samsung,Patronus AI,B 轮 $50M 跟投（Digital World Models）,"round included participation from existing investors Notable Capital, Lightspeed Venture Partners, Datadog, Samsung, Factorial Capital（搜索摘要）",https://www.prnewswire.com/news-releases/patronus-ai-raises-50-million-series-b-and-unveils-first-digital-world-models-for-ai-agent-training-and-simulation-302811248.html,2026-06-25,高
Samsung Next,Gray Swan AI,A 轮 $40M 跟投,"co-led by Wing Venture Capital and Madrona. Obvious Ventures, Snowflake Ventures, Hudson River Trading, Samsung Next ... also participated（搜索摘要）",https://www.finsmes.com/2026/06/gray-swan-raises-40m-in-series-a-funding.html,2026-06,中
Scribble Ventures,Proximal,种子轮领投,last round was an early/seed-stage round (amount undisclosed) led by Scribble Ventures（搜索摘要）,https://www.fastaijobs.com/companies/proximal-ai,未知,低
Script Capital,Cua,YC S25；$500K 种子,"$500K in seed funding from 468 Capital, Orange Collective, and Script Capital（搜索摘要）",https://startupintros.com/orgs/cua,2025,低
Segments.ai,Uber AI Solutions,Uber 收购多传感器标注平台 Segments.ai（被收购方）,Uber Buys Data Labeling Startup in Push to Sell AI Services,https://www.bloomberg.com/news/articles/2025-10-02/uber-buys-data-labeling-startup-in-push-to-sell-ai-services,2025-10-02,中
SemiAnalysis（Dylan Patel 天使）,HUD,A 轮天使,"angel investments from Dylan Patel from SemiAnalysis, Roon from OpenAI, Ivan Burazin from Daytona, and Theo Browne.（搜索摘要）",https://www.hud.ai/blog/announcing-16m-series-a,2026,中
Sequoia Capital,Fleet,融资,"the company is supported by Sequoia Capital, Menlo Ventures, and SV Angel（搜索摘要）",https://sacra.com/c/fleet/,2026,低
Sequoia Capital,Irregular,$80M 融资领投，估值 $450M,"The $80 million funding round was led by Sequoia Capital and Redpoint Ventures, with participation from Wiz CEO Assaf Rappaport（搜索摘要）",https://techcrunch.com/2025/09/17/irregular-raises-80-million-to-secure-frontier-ai-models,2025-09-17,中
Snowflake Ventures,Gray Swan AI,A 轮 $40M 跟投,"co-led by Wing Venture Capital and Madrona. Obvious Ventures, Snowflake Ventures, Hudson River Trading, Samsung Next ... also participated（搜索摘要）",https://www.finsmes.com/2026/06/gray-swan-raises-40m-in-series-a-funding.html,2026-06,中
South Park Commons,Vmax,早期投资,Vmax - Companies - South Park Commons（搜索摘要）,https://www.southparkcommons.com/companies/vmax/,未知,高
Spinel Capital,Abaka AI,A轮800万美元，累计2000万美元,Total funding has reached $20 million from investors like Spinel Capital and Future Value Capital,https://finance.yahoo.com/sectors/technology/articles/abaka-ai-secures-8m-expand-140242975.html,2025/2026（未核）,高
TalkingData,倍赛 BasicFinder,A轮数千万元,A轮融资，由五岳资本和Talkingdata投资,https://m.newseed.cn/news/1355191,未核（早于2024）,低
Thinking Machines 员工（个人天使）,Proximal,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,低
University of California (UC Investments),LMArena,A 轮 $150M 联合领投，估值 $1.7B,funding round was led by Felicis and UC Investments（搜索摘要）,https://techcrunch.com/2026/01/06/lmarena-lands-1-7b-valuation-four-months-after-launching-its-product/,2026-01-06,中
Unusual Ventures,Andromede,早期投资,is backed by Unusual Ventures（搜索摘要）,https://www.startuphub.ai/startups/andromede-ai,未知,低
Wells Fargo,Snorkel AI,$350M E 轮，估值 $3.5B,"co-led by Insight Partners and S32, with significant participation from existing investors Addition, Greylock, Lightspeed, GV ... Wells Fargo（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-raises-350m-to-scale-the-data-factory-for-frontier-ai-302886796.html,2026-09-22,高
Wing VC,Bespoke Labs,A 轮领投,Series A round was led by Wing VC（搜索摘要）,https://siliconangle.com/2026/07/06/ai-post-training-startup-bespoke-labs-raises-40m-funding/,2026-07-06,中
Y Combinator,Arga Labs,YC P26 孵化,"Are you a 100x engineer but a 1x tester with AI? @ArgaLabs closes that gap. Arga spins up a per-PR sandbox with twins (Stripe, Slack, etc.)（搜索摘要）",https://x.com/ycombinator/status/2044083256489062800,2026-04,中
Y Combinator,BenchFlow,$1M 种子轮,"$1M seed funding came in January 2025 from investors including YC, Pear, Construct, FAST-GETTYLAB, and Ankit Jain（搜索摘要）",https://www.startuphub.ai/startups/benchflow-ai,2025-01,低
Y Combinator,Cua,YC S25；$500K 种子,"$500K in seed funding from 468 Capital, Orange Collective, and Script Capital（搜索摘要）",https://startupintros.com/orgs/cua,2025,低
Y Combinator,Refresh,YC X25/Spring 2025 批次,Refresh (YC X25)（搜索摘要）,https://www.ycombinator.com/companies/refresh,2025,高
Y Combinator,Sciloop,YC F25 孵化；奥赛级 STEM 推理数据,Sciloop: Expert STEM reasoning data for frontier AI labs.（搜索摘要）,https://www.ycombinator.com/companies/sciloop,未知,中
Y Combinator,hillclimb,YC F25 孵化；数学 RL 环境,hillclimb - Training data derived from human superintelligence（搜索摘要）,https://www.ycombinator.com/launches/Oqr-hillclimb-training-data-derived-from-human-superintelligence,未知,中
clickworker,LXT,LXT 收购 clickworker，新增 500 多家企业客户（被收购方）,LXT Acquires clickworker to Deliver Industry-Leading AI Data Solutions,https://www.prnewswire.com/news-releases/lxt-acquires-clickworker-to-deliver-industry-leading-ai-data-solutions-302333052.html,2024-12-17,低
xAI,Proximal,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,低
xAI,micro1,新一轮投资方包括客户和 xAI 两位联合创始人,"participation from some of the company's customers and investors, including frontier AI labs and co-founders of xAI",https://ecosistemastartup.com/micro1-vale-us4-000m-con-su-negocio-de-datos-para-ia/,2026-09,低
不惑创投,龙猫数据,A轮3370万元,A轮融资，本轮由金沙江创投领投，九合创投、不惑创投继续跟投,https://36kr.com/p/1721971671041,未核（早于2024）,低
东方嘉富（领投）,倍赛 BasicFinder,B轮,完成B轮融资，由东方嘉富领投,https://www.qbitai.com/2021/08/28121.html,2021-08,低
九合创投,龙猫数据,A轮3370万元,A轮融资，本轮由金沙江创投领投，九合创投、不惑创投继续跟投,https://36kr.com/p/1721971671041,未核（早于2024）,低
五岳资本,倍赛 BasicFinder,A轮数千万元,A轮融资，由五岳资本和Talkingdata投资,https://m.newseed.cn/news/1355191,未核（早于2024）,低
五源资本,智能知识,种子轮,种子轮获得五源资本和奇绩创坛投资,https://news.qq.com/rain/a/20260608A079S700,2026-06-08,中
亚盛投资,恺望数据,Pre-A轮数千万元,完成数千万元Pre-A轮融资，亚盛投资领投,https://startup.aliyun.com/info/1062313.html,约2023,中
亦庄产业升级基金,恺望数据,逾亿元战略融资,由北京亦庄产业升级基金、华方资本、天际资本多方联合领投,https://news.pedaily.cn/202608/567244.shtml,2026-08-04,高
凡创资本,晴数智慧 Magic Data,B轮数千万元,2021年初完成B轮融资…由凡创资本投资,https://pitchhub.36kr.com/project/1679626708439811,2021,低
凯复资本,曼孚科技 MindFlow,Pre-B轮5000万元,完成5000万元Pre-B轮融资，凯复资本及公司管理团队投资,https://m.cyzone.cn/article/713967.html,2022-07,中
前沿实验室,micro1,新一轮投资方包括客户和 xAI 两位联合创始人,"participation from some of the company's customers and investors, including frontier AI labs and co-founders of xAI",https://ecosistemastartup.com/micro1-vale-us4-000m-con-su-negocio-de-datos-para-ia/,2026-09,低
华方资本,恺望数据,逾亿元战略融资,由北京亦庄产业升级基金、华方资本、天际资本多方联合领投,https://news.pedaily.cn/202608/567244.shtml,2026-08-04,高
华映资本（领投）,星尘数据 Stardust,A轮5000万元,完成5000万元A轮融资，华映资本领投,https://finance.sina.cn/tech/2023-01-04/detail-imxyzfyi9043456.d.html,2023-01-04,中
厚天资本,星尘数据 Stardust,A轮5000万元,完成5000万元A轮融资，华映资本领投,https://finance.sina.cn/tech/2023-01-04/detail-imxyzfyi9043456.d.html,2023-01-04,中
嘉远资本,曼孚科技 MindFlow,B+++轮近亿元,完成近亿元B+++轮融资，本轮投资方为嘉远资本,https://www.mindflow.com.cn/NewsStd_1174.html,2025-07,高
国和投资（上海国际集团）,博登智能 Boden AI,A轮亿元,完成亿元A轮融资，由…国和投资进行独家投资,https://finance.sina.com.cn/jjxw/2025-06-10/doc-inezpuqn5913559.shtml,2025-06-10,高
