供应商,客户或合作方,客户类型,关系类型,工作内容或领域,原文证据,来源链接,来源日期,来源类型,置信度
Mercor,OpenAI,frontier lab,客户,ChatGPT 训练承包商（审阅真实用户提示）,"Mercor, an AI-training company that employs contractors working on OpenAI projects, confirmed... contracts prohibit workers from using LLMs",https://www.404media.co/people-training-openais-ai-fired-for-using-ai-to-train-the-ai/,2026-09,媒体报道,中
Mercor,OpenAI,frontier lab,客户,接替 Scale 提供专业化数据,"OpenAI, in particular, has turned to Mercor to meet its needs for more and increasingly specialized data, Bloomberg has reported",https://www.claimsjournal.com/news/national/2025/09/04/332758.htm,2025-09-04,媒体报道（转载 Bloomberg）,中
未具名供应商,OpenAI,frontier lab,客户,Project Mercury：前投行人员做财务模型（$150/小时）,"Experts are recruited, managed and compensated by third party suppliers",https://www.entrepreneur.com/business-news/openai-is-paying-ex-investment-bankers-to-train-its-ai/498585,2025-10,媒体报道（转述 Bloomberg 中 OpenAI 发言）,中
Handshake AI,OpenAI,frontier lab,客户,Project Stagecraft：承包商上传真实工作成果，各职业数据,OpenAI and training data company Handshake AI are asking third-party contractors to upload real work,https://techcrunch.com/2026/01/10/openai-is-reportedly-asking-contractors-to-upload-real-work-from-past-jobs/,2026-01-10,媒体报道（转述 Wired）,中
Handshake AI,Anthropic,frontier lab,客户,专家反馈数据,AI labs including Anthropic and OpenAI are their primary customers,https://sacra.com/research/handshake-indeed-for-data-labelers/,2026-04,分析机构（Sacra）,低
未具名供应商,Anthropic,frontier lab,客户,RL 环境（十多家供应商，讨论年投入超10亿美元）,Anthropic is working with more than a dozen RL environment companies as contractors,https://epoch.ai/gradient-updates/state-of-rl-envs,2025-09,分析机构（转述 The Information）,中
Mechanize,Anthropic,frontier lab,客户,编码类 RL 环境,Mechanize has already been working with Anthropic on RL environments,https://techcrunch.com/2025/09/21/silicon-valley-bets-big-on-environments-to-train-ai-agents/,2025-09-21,媒体报道,中
Andon Labs,Anthropic,frontier lab,合作,Project Vend：真实小店经营智能体实验/评测,Project Vend is a collaboration between Andon Labs... and Anthropic,https://anthropic.com/research/project-vend-1,2025-06-27,实验室官方博客,高
Deloitte,Anthropic,frontier lab,合作,CBRN 评测：长程病毒学任务共建,Long-Form Virology Tasks: developed in collaboration with Signature Science and Deloitte Consulting,https://www-cdn.anthropic.com/7aad69bf12627d42234e01ee7c36305dc2f6a970.pdf,2025-10,系统卡（Claude Haiku 4.5，搜索摘要）,中
Signature Science,Anthropic,frontier lab,合作,CBRN 评测：长程病毒学任务共建,"co-developed with Deloitte, Signature Science, and SecureBio",https://www-cdn.anthropic.com/7aad69bf12627d42234e01ee7c36305dc2f6a970.pdf,2025-10,系统卡（搜索摘要）,中
SecureBio,Anthropic,frontier lab,合作,病毒学能力测试 VCT、DNA 合成筛查规避评测,SecureBio developed and ran the Virology Capabilities Test,https://securebio.org/benchmarks/models/,2025,评测机构官网,中
Surge AI,Anthropic,frontier lab,客户,RLHF 人类反馈,Anthropic partnered with Surge AI to gather high-quality human feedback at scale,https://www.lennysnewsletter.com/p/surge-ai-edwin-chen,2025,访谈/二手,低
Apollo Research,OpenAI,frontier lab,合作,o1 外部评测：scheming 能力,Apollo Research... evaluated capabilities of 'scheming' in o1,https://openai.com/index/openai-o1-system-card/,2024-12,系统卡,中
Gray Swan AI,OpenAI,frontier lab,合作,越狱红队竞技场,OpenAI collaborated with Gray Swan to make the o1 model available for jailbreaking in the Gray Swan Arena,https://openai.com/index/openai-o1-system-card/,2024-12,系统卡,中
Haize Labs,OpenAI,frontier lab,合作,外部红队测试,"external testers included Apollo Research, Faculty, Gray Swan AI, Haize Labs, METR, and Virtue AI",https://openai.com/index/openai-o1-system-card/external-testers-acknowledgements/,2024-12,系统卡致谢,中
Faculty,OpenAI,frontier lab,合作,外部红队测试,"external testers included Apollo Research, Faculty, Gray Swan AI, Haize Labs, METR, and Virtue AI",https://openai.com/index/openai-o1-system-card/external-testers-acknowledgements/,2024-12,系统卡致谢,中
Virtue AI,OpenAI,frontier lab,合作,外部红队测试,"external testers included ... METR, and Virtue AI",https://openai.com/index/openai-o1-system-card/external-testers-acknowledgements/,2024-12,系统卡致谢,中
Irregular（原 Pattern Labs）,OpenAI,frontier lab,合作,网络安全能力评测,"Irregular under cyber capabilities, and Gray Swan under third-party red-teaming",https://cdn.openai.com/gpt-5-system-card.pdf,2025-08-13,系统卡（搜索摘要转述）,中
SecureBio,OpenAI,frontier lab,合作,病毒学排障题库/生物能力评测,350 virology troubleshooting questions from SecureBio,https://openai.com/index/openai-o1-system-card/,2024-12,系统卡,中
Epoch AI,OpenAI,frontier lab,共建基准,FrontierMath：OpenAI 出资委托300道数学题,OpenAI commissioned Epoch AI to produce 300 math questions for the FrontierMath benchmark,https://epoch.ai/latest/openai-and-frontiermath,2025-01,评测机构官方说明,高
GlobalLogic（日立）,Google,科技大厂,客户,Gemini 回答评分（super raters）,"contractors working with GlobalLogic, an outsourcing firm owned by Hitachi, are routinely asked to evaluate AI-generated responses",https://techcrunch.com/2024/12/18/exclusive-googles-gemini-is-forcing-contractors-to-rate-ai-responses-outside-their-expertise/,2024-12-18,媒体报道,中
GlobalLogic（日立）,Google,科技大厂,客户,Gemini 评分员（2025年裁员200+）,"'super raters' employed by GlobalLogic, a Hitachi-owned outsourcing firm that has supplied Google with human evaluators for years",https://www.business-standard.com/technology/tech-news/google-ai-raters-laid-off-globallogic-hitachi-jobs-125091600593_1.html,2025-09-16,媒体报道（转述 Wired）,中
Prolific,Google DeepMind,frontier lab,论文致谢,说服力/操纵能力人类被试实验（610人）,"The study is conducted via Prolific, an online platform, with 610 total participants",https://storage.googleapis.com/deepmind-media/gemini/gemini_3_pro_fsf_report.pdf,2025-11,技术报告原文,高
Prolific,Google DeepMind,frontier lab,论文致谢,Gemma 2 说服力人类被试实验,We evaluate Gemma 2's persuasion capabilities on human-participant studies on Prolific,https://storage.googleapis.com/deepmind-media/gemma/gemma-2-report.pdf,2024-07,技术报告原文,低
未具名供应商,Google DeepMind,frontier lab,论文致谢,外部安全测试（付费的民间与商业机构）,Groups included civil society and commercial organizations. The groups testing the model checkpoints were compensated,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,2025-06,技术报告原文,高
未具名供应商,Google DeepMind,frontier lab,论文致谢,网络安全 CTF 挑战题（外部供应商48题）,We instantiate this benchmark by mapping 48 challenges from an external vendor,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,2025-06,技术报告原文,高
Appen,Google,科技大厂,客户变动（停止合作等）,Bard/搜索质量评分合同终止（约8280万美元）,"Alphabet ends contract with Appen, which trained Bard, Google Search",https://www.cnbc.com/2024/01/23/alphabet-ends-contract-with-appen-which-trained-bard-google-search.html,2024-01-23,媒体报道/交易所公告,低
Mercor,Google DeepMind,frontier lab,客户,专家数据、rubric、评测框架,"Mercor's customers include leading AI labs such as OpenAI, Google DeepMind, and Meta",https://valueaddvc.com/blog/how-does-mercor-make-money-2b-arr-20b-valuation-and-the-expert-data-marketplace-explained,2026,二手分析,低
Spirit Airlines（破产资产）,Google,科技大厂,客户,以1000万美元购买航空公司内部邮件/Teams/运营数据用于AI训练,Google agreed to pay $10 million for a massive collection of Spirit Airlines' internal business data,https://www.forbes.com/sites/suzannerowankelleher/2026/08/18/google-train-ai-spirit-airlines-data/,2026-08-18,媒体报道/破产法院文件,中
Spirit Airlines（破产资产）,Mercor,其他,客户变动（竞购未成交）,竞购企业工作流数据（出价750万美元，次高）,"Google beat out AI-powered hiring company Mercor, which submitted the next-highest bid of $7.5 million",https://www.forbes.com/sites/sandycarter/2026/08/23/ai-data-wars-begin-as-google-mercor-and-micro1-bid-for-spirits-data/,2026-08-23,媒体报道,中
Spirit Airlines（破产资产）,micro1,其他,客户变动（竞购未成交）,竞购企业数据（报价1250万美元）,Micro1 Bids $12.5 Million To Steal Spirit Airlines' Data From Google,https://startupfortune.com/micro1-bids-125-million-to-steal-spirit-airlines-data-from-google/,2026-08,媒体报道,低
未具名供应商,SpaceX（原 xAI）,frontier lab,客户,讨论从失败创业公司购买运营与客户数据训练 Grok,SpaceX has held internal discussions about buying customer and operational information from troubled or defunct startups,https://www.bloomberg.com/news/articles/2026-09-17/spacex-discusses-buying-data-for-ai-models-from-failed-startups,2026-09-17,媒体报道,中
Scale AI,NVIDIA,科技大厂,论文致谢,HelpSteer3 偏好数据：通用/STEM/代码子集标注,"The General, STEM and Code subsets were annotated by Scale AI",https://arxiv.org/abs/2505.11475,2025-05,论文原文（搜索摘要）,高
Translated,NVIDIA,科技大厂,论文致谢,HelpSteer3 多语言子集标注,the Multilingual subset was annotated by Translated,https://arxiv.org/abs/2505.11475,2025-05,论文原文（搜索摘要）,高
Scale AI,NVIDIA,科技大厂,论文致谢,Nemotron 后训练数据中含 Scale HLE 私有数据,Scale AI appears to be a likely supplier for the Scale HLE dataset,https://github.com/marin-community/marin/issues/9284,2026,第三方分析（GitHub issue，搜索摘要）,低
Gretel,NVIDIA,科技大厂,投资方,被 NVIDIA 收购（九位数）；Gretel Data Designer 生成 Nemotron-Personas 合成数据,"NVIDIA completed the acquisition of Gretel, a synthetic data startup in March 2025",https://techcrunch.com/2025/03/19/nvidia-reportedly-acquires-synthetic-data-startup-gretel,2025-03-19,媒体报道,中
DataForce（TransPerfect）,IBM,科技大厂,论文致谢,Granite Guardian 风险检测人工标注,Human annotations for Granite Guardian are obtained ... in partnership with DataForce,https://arxiv.org/pdf/2412.07724,2024-12,论文原文（搜索摘要）,中
未具名供应商,Cohere,frontier lab,论文致谢,Command A 指令数据来自专业数据供应商,high quality data sourced from specialised data vendors,https://cohere.com/research/papers/command-a-technical-report.pdf,2025-03,技术报告（搜索摘要）,中
Appen,Cohere,frontier lab,官网客户墙（转述）,Command 模型微调专家标注,Cohere partnered with Appen to source expert annotators... for the Command model,https://www.appen.com/case-studies/cohere-fine-tuning-for-enterprise,2024,供应商案例,中
TransPerfect,Apple,科技大厂,客户,Apple Intelligence 回答标注（巴塞罗那约200人）,About 200 people work on data annotation for Apple's AI models at TransPerfect's Barcelona office,https://9to5mac.com/2025/09/10/apple-ai-guideline-changes-trump/,2025-09-10,媒体报道（转述 Politico）,中
未具名供应商,Amazon,科技大厂,论文致谢,Nova 人工评测由第三方供应商执行,Amazon used a third-party vendor for human evaluation,https://arxiv.org/pdf/2506.12103,2025-03,技术报告（搜索摘要）,中
未具名供应商,Meta,科技大厂,论文致谢,Llama 4 安全数据：供应商人工数据+合成数据,combining human-generated data from our vendors with synthetic data,https://raw.githubusercontent.com/meta-llama/llama-models/main/models/llama4/MODEL_CARD.md,2025-04,模型卡原文,高
CrowdStrike,Meta,科技大厂,共建基准,CyberSOCEval 网络安全评测基准,CrowdStrike and Meta Deliver New Benchmarks for the Evaluation of AI Performance in Cybersecurity,https://ir.crowdstrike.com/news-releases/news-release-details/crowdstrike-and-meta-deliver-new-benchmarks-evaluation-ai,2025,上市公司新闻稿,高
Invisible Technologies,Microsoft,科技大厂,客户,RLHF 合同,Invisible... off the back of major RLHF contracts with Microsoft and Cohere,https://sacra.com/research/invisible-at-134m-in-revenue/,2025,分析机构（Sacra）,低
Scale AI,Center for AI Safety,其他,共建基准,Humanity's Last Exam,Humanity's Last Exam was created jointly by the Center for AI Safety and Scale AI,https://arxiv.org/abs/2501.14249,2025-01,论文原文,高
Mercor,Cognition,AI 应用公司,共建基准,APEX-SWE 软件工程基准,"APEX-SWE, a new benchmark, in partnership with Cognition",https://www.mercor.com/apex/,2026,供应商官网（搜索摘要）,中
Mercor,Artificial Analysis,其他,合作,APEX-Agents-AA 独立排行榜,collaboration with Artificial Analysis on APEX-Agents-AA,https://www.mercor.com/apex/apex-agents-leaderboard/,2026,供应商官网（搜索摘要）,中
Mercor,Harvey,垂直 AI,合作,Harvey Tenet 法律模型：人类专家数据集+合成数据审校,Harvey collaborated closely with Mercor and others to build and scale human expert datasets,https://www.harvey.ai/blog/post-training-update-harvey-tenet,2026,客户官方博客,高
未具名供应商,Harvey,垂直 AI,合作,除 Mercor 外的其他专家数据供应商,collaborated closely with Mercor and others,https://www.harvey.ai/blog/post-training-update-harvey-tenet,2026,客户官方博客,中
Mercor,Applied Compute,AI 应用公司,合作,公司法任务专家数据后训练（约2000例）,"the dataset was scaled to roughly 2,000 cases with Applied Compute",https://www.mercor.com/blog/expert-data-drives-model-performance/,2026-02,供应商博客,中
Surge AI,腾讯,国内大模型公司,客户,人类偏好/训练数据,Tencent relies on Surge AI... for data provision,https://www.forbes.com/sites/annatong/2026/08/05/silicon-valleys-other-china-problem-its-training-their-ai/,2026-08-05,媒体调查（Forbes）,中
Mercor,腾讯,国内大模型公司,客户,训练数据,"Mercor, which won a contract with the U.S. federal government, also works with Tencent",https://www.forbes.com/sites/annatong/2026/08/05/silicon-valleys-other-china-problem-its-training-their-ai/,2026-08-05,媒体调查（Forbes）,中
AfterQuery,蚂蚁集团,国内大模型公司,客户,训练数据,an executive from Ant Group acknowledged a close working relationship with U.S. AI training data outfit AfterQuery,https://www.forbes.com/sites/annatong/2026/08/05/silicon-valleys-other-china-problem-its-training-their-ai/,2026-08-05,媒体调查（Forbes，短信记录）,中
AfterQuery,阿里巴巴,国内大模型公司,客户,训练数据采购协议,audio transcripts... with an Alibaba employee point to purchase agreements with AfterQuery and Mercor,https://www.forbes.com/sites/annatong/2026/08/05/silicon-valleys-other-china-problem-its-training-their-ai/,2026-08-05,媒体调查（Forbes）,中
Mercor,阿里巴巴,国内大模型公司,客户,训练数据采购协议,point to purchase agreements with AfterQuery and Mercor,https://www.forbes.com/sites/annatong/2026/08/05/silicon-valleys-other-china-problem-its-training-their-ai/,2026-08-05,媒体调查（Forbes）,中
Turing,字节跳动,国内大模型公司,客户,训练数据项目,Internal project documentation suggests US data labeling startup Turing has worked with ByteDance,https://www.forbes.com/sites/annatong/2026/08/05/silicon-valleys-other-china-problem-its-training-their-ai/,2026-08-05,媒体调查（Forbes，内部文件）,中
未具名供应商,中国头部6家AI实验室,国内大模型公司,客户,每年向美国数据公司采购约5亿美元,the top six Chinese AI labs spend about $500 million with American data labeling companies per year,https://www.forbes.com/sites/annatong/2026/08/05/silicon-valleys-other-china-problem-its-training-their-ai/,2026-08-05,媒体调查（Forbes，二手估算）,低
Surge AI,月之暗面（Moonshot AI）,国内大模型公司,客户,RL 环境（助力 Kimi K2 Thinking）,"Surge is active internationally, selling to Chinese labs like Moonshot and Z.ai",https://newsletter.semianalysis.com/p/rl-environments-and-rl-for-science,2025-12,行业分析（SemiAnalysis）,中
Surge AI,智谱（Z.ai）,国内大模型公司,客户,RL 环境（助力 GLM-4.6）,Access to these RL environments played a huge part in increasing the capabilities for Kimi K2 Thinking and GLM-4.6,https://newsletter.semianalysis.com/p/rl-environments-and-rl-for-science,2025-12,行业分析（SemiAnalysis）,中
Surge AI,月之暗面（Moonshot AI）,国内大模型公司,客户,RL 训练环境,"Surge AI sells AI training environments to Chinese laboratories, including Moonshot AI and Z.ai",https://www.lawfaremedia.org/article/america-must-protect-its-training-data,2026,评论文章（转述）,低
未具名供应商,字节跳动（抖音集团）,国内大模型公司,招聘暗示,采购部公开寻找标注供应商，重点医疗/法律/教育垂类,抖音集团内容质量与数据服务平台正寻找标注供应商，尤其是医疗、法律、教育等垂类资源丰富的供应商,https://finance.eastmoney.com/a/202503073339120771.html,2025-03-07,媒体报道,中
未具名供应商,字节跳动/阿里巴巴/腾讯,国内大模型公司,招聘暗示,自建专家标注平台（Xpert/晓天睿士/企鹅标注）并通过中介公司招募高学历标注员,字节Xpert、阿里晓天睿士、腾讯Qlabel…通过中介公司和官方渠道大规模招募高学历数据标注员,https://m.thepaper.cn/newsDetail_forward_32761250,2025,媒体报道（澎湃，搜索摘要）,低
Flitto,Upstage,其他,合作,韩国主权AI项目联合体中负责数据集构建,"Within the Upstage consortium, Flitto is fully responsible for dataset construction",https://datalab.flitto.com/en/company/blog/upstage-sovereign-ai-dataset-construction-flitto/,2025-2026,供应商博客,中
Flitto,Upstage,其他,论文致谢,Solar Open 2 大规模训练数据构建,Flitto contributed to constructing large-scale training datasets,https://arxiv.org/abs/2607.20062,2026-07,技术报告原文（搜索摘要）,高
未具名供应商,Mistral AI,frontier lab,招聘暗示,管理专家数据采集的承包商团队与供应商关系,Technical Program Manager - Human Data Annotation... manage contractor teams and vendor relationships,https://jobs.lever.co/mistral/5102591a-0533-4160-9b44-bb24494b9d1e,2026,招聘描述（搜索摘要）,低
Surge AI,Microsoft AI,科技大厂,合作,MAI-Thinking-1 盲测人类评测（1276个任务，专业评分员）,"we built a blind side by side human evaluation with partner Surge, using their pool of professional raters across 1,276 tasks",https://microsoft.ai/news/introducing-mai-thinking-1/,2026-06,实验室官方博客（搜索摘要）,高
未具名供应商,Microsoft AI,科技大厂,论文致谢,MAI-Thinking-1 奖励模型偏好数据来自多家未具名供应商,the reward model is trained exclusively on human preference data collected with human annotators from several vendors,https://complexdiscovery.com/microsofts-first-reasoning-model-arrives-with-a-provenance-pitch-aimed-at-compliance-teams/,2026-06,媒体转述技术报告,中
Mercor,NVIDIA,科技大厂,客户,购买 SWE-AgentsV1（类 Terminal-Bench 智能体任务）用于 Nemotron 后训练,terminal-benchmark-like agent tasks—elsewhere named Mercor SWE-AgentsV1,https://github.com/marin-community/marin/issues/9284,2026,第三方分析（引用 NVIDIA 数据卡，搜索摘要）,低
Patronus AI,NVIDIA,科技大厂,客户,Nemotron 对话记忆类后训练数据（外部供应商协议）,A custom 'Dialog Memory Vendor Data' package was supplied under a Patronus external-vendor agreement,https://github.com/marin-community/marin/issues/9284,2026,第三方分析（引用 NVIDIA 数据卡，搜索摘要）,低
未具名供应商,NVIDIA,科技大厂,论文致谢,Nemotron 购买数据包：数学推理包（标为 undisclosed purchased）、类 Terminal-Bench 任务（Droid 框架）,NVIDIA explicitly labels a mathematical-reasoning pack as 'undisclosed — purchased dataset',https://github.com/marin-community/marin/issues/9284,2026,第三方分析（引用 NVIDIA 数据卡，搜索摘要）,低
未具名供应商,NVIDIA,科技大厂,论文致谢,Nemotron 3 Ultra 搜索类 SFT：供应商整理的难样本（需50-100次搜索）,Search: vendor-curated hard samples requiring 50-100 searches collected in the BrowseComp harness,https://raw.githubusercontent.com/NVIDIA-NeMo/Nemotron/main/skills/nemotron-ultra/paper/sft.md,2026,实验室官方 GitHub（论文摘要）,高
Mercor,Anthropic,frontier lab,客户,训练方法/数据（泄露事件涉及）,"a LiteLLM supply chain attack exposed training methodologies used by Meta, OpenAI, and Anthropic",https://thenextweb.com/news/meta-mercor-breach-ai-training-secrets-risk,2026-04,媒体报道,中
Surge AI,Anthropic,frontier lab,论文致谢,HH-RLHF 人类偏好数据（与 MTurk、Upwork 并列）,"thanked the staff and workers at Surge AI, Amazon MTurk, and Upwork for providing most of the data",https://arxiv.org/abs/2204.05862,2022-04,论文原文致谢（搜索摘要）,低
Upwork,Anthropic,frontier lab,论文致谢,HH-RLHF 众包对话数据,easier to incentivize very high-quality interactions on platforms such as Upwork,https://arxiv.org/abs/2204.05862,2022-04,论文原文（搜索摘要）,低
Invisible Technologies,AI21 Labs,frontier lab,合作,SFT/RLHF 专家劳动力与流程平台,AI21 and Invisible Technologies Announce Strategic Partnership... experts in SFT and RLHF,https://www.businesswire.com/news/home/20231207214420/en/AI21-and-Invisible-Technologies-Announce-Strategic-Partnership-to-Drive-AI-Adoption-for-Enterprise,2023-12-07,联合新闻稿,低
Invisible Technologies,Mistral AI,frontier lab,客户,多年期 RLHF 合同,"After signing multi-year contracts with Microsoft, Cohere, AI21, Mistral, and Perplexity",https://sacra.com/research/invisible-vs-mercor/,2025,分析机构（Sacra，搜索摘要）,低
Invisible Technologies,Perplexity,AI 应用公司,客户,多年期 RLHF 合同,"After signing multi-year contracts with Microsoft, Cohere, AI21, Mistral, and Perplexity",https://sacra.com/research/invisible-vs-mercor/,2025,分析机构（Sacra，搜索摘要）,低
Scale AI,Google,科技大厂,客户,Gemini 人工标注数据（2025年原计划约2亿美元）,Google had planned to pay Scale AI about $200 million this year for the human-labeled training data,https://www.cnbc.com/2025/06/14/google-scale-ais-largest-customer-plans-split-after-meta-deal.html,2025-06-14,媒体报道（转载 Reuters）,中
未具名供应商,OpenAI,frontier lab,客户,RL 环境与人类数据（多份七位数合同）,OpenAI has already signed multiple seven-figure RL-environment and human-data contracts,https://www.wing.vc/content/rl-environments-for-agentic-ai-who-will-win-the-training-verification-layer-by-2030,2026,投资机构分析,低
未具名供应商,腾讯混元,国内大模型公司,客户,长文本等标注支持由外部AI数据服务公司长期提供,腾讯混元T1训练需高质量长文本数据，AI数据服务公司长期为腾讯提供标注支持,https://m.thepaper.cn/newsDetail_forward_32761250,2025,媒体报道（搜索摘要）,低
