供应商,类型,规模,地区,官网,简介,主要领域,收录声明数
整数智能 MolarData,综合,中,杭州,https://www.molardata.com,源自浙大计算机创新技术研究院，2024年8月A轮数千万元（峰瑞领投），称合作客户1000余家；Abaka AI 疑为其海外品牌（两者宣传用语、海外办公室一致，未确认）,智能驾驶4D标注、生成式AI、具身智能,4
景联文科技,人类数据/专家网络,中,杭州,https://www.jinglianwen.com,2012年成立，2025年5月Pre-A数千万元（杭州金投），称3亿道题库、专家级标注,公共数据、大模型、自动驾驶、医疗,4
博登智能 Boden AI,综合,中,宁波,https://www.bodenai.com,2019年成立，2025年A轮亿元（国和投资）、2026年6月A+/A++数亿元,自动驾驶数据闭环、大模型、具身智能、医疗,4
库帕思 Kupas（上海语料公司）,合成数据,中,中国·上海,未知,2024年成立，上海联和牵头的首家AI语料公司，输出成品语料约200TB,语料生产与供给,3
热热数据（汇洲智能 002122）,标注平台,小,中国,https://www.reredata.com/,汇洲智能子公司，2024年营收5140万元，公司称对营收贡献小,数据采集标注、内容审核,3
倍赛 BasicFinder,标注平台,中,北京,https://www.basicfinder.com,北京深度搜索科技，B轮（2021东方嘉富领投）；2024-12媒体报道其被列被执行人,数据采集标注、大模型RLHF/蒸馏数据、智驾,3
智能知识（一面千识）,人类数据/专家网络,小,中国,https://meetchances.com/,核心团队来自字节Seed；一面千识专家平台5万+专家，2026年6月获锦秋、耀途天使轮，自称已获头部大模型公司订单,Coding、企业办公（GDPVal类）、Agentic Tool Use、AI4Math/Science 专家数据；Xpert Studio 数据生产软件,3
司南 OpenCompass（上海AI Lab）,评测,大,中国（上海）,https://opencompass.org.cn/,上海人工智能实验室开源评测体系，设评测伙伴计划（非商业公司）,LLM/多模态评测工具链、行业评测集（金融、法律、医疗、安全）,3
澳鹏中国 Appen China,综合,大,中国（Appen ASX:APX 子业务）,https://www.appendata.com/,2024年营收超4.2亿元（+71%），大模型/AIGC业务+526%；中国占集团收入约64%,LLM数据、图文对、专家数据（EliteAI）、医疗/具身标注平台,2
百度智能云数据众包,标注平台,大,中国（全国12个标注基地）,https://zhongbao.baidu.com/,全国12个标注基地、超11000岗位，服务文心一言及外部客户,大模型RLHF、采集标注,2
深圳数据交易所,其他,大,中国·深圳,https://www.szdex.com/,国家级数据交易所建设中；撮合全国首单语料场内交易；发放“语料券”,语料交易、可信数据空间,2
北京国际大数据交易所（北京数据集团）,其他,大,中国·北京,https://www.bjidex.com/,发布首批约100个大模型高质量训练数据集，北京数据集团2025年揭牌整合北数所,语料/高质量数据集,2
希尔贝壳 AISHELL,人类数据/专家网络,小,北京,https://www.aishelltech.com,AISHELL系列开源中文语音数据集提供方,语音识别/合成数据,2
智源 FlagEval,评测,中,中国（北京）,https://flageval.baai.ac.cn/,北京智源研究院评测平台（非营利研究机构），“百模”评测,多模态评测、辩论评测、评测集共建,2
xbench（红杉中国）,评测,中,中国,https://www.hongshan.com/article/%E4%BB%8A%E5%A4%A9%EF%BC%8C%E6%88%91%E4%BB%AC%E6%8E%A8%E5%87%BAxbench/（官网未核实）,红杉中国推出的 Agent 评测基准（投资机构内部工具，非商业服务商）,Agent 生产力评测、招聘/营销职业对齐评测、月报,2
Copula Lab（上海科谱朗智）,RL 环境,小,中国（上海）,https://www.copulalab.com/,2026年成立，创始团队来自MiniMax（Agent业务与内部评测、M2编码后训练）；首轮融资估值数千万美元,专家工作流 SFT 数据、RL 环境（长程多轮任务+评分函数）、经济任务基准、Bad Pattern 数据,1
SuperCLUE（CLUE）,评测,小,中国,https://www.superclueai.com/,中文大模型第三方评测基准，月度榜单，并提供企业POC/行业测评,通用/Agent/RAG/金融/汽车等行业评测,1
京东众智（京东云）,标注平台,中,中国·北京,https://biao.jd.com/,京东内部众智标注平台，服务言犀等内部大模型及外部客户,电商、CV、NLP标注,1
上海数据交易所,其他,大,中国·上海,https://www.chinadep.com/,语料专区，2024年交易额超50亿元，挂牌产品超5000个,语料交易,1
云测数据 Testin Data,标注平台,大,北京,https://ai.testin.cn,Testin云测（2011年成立，C轮3000万美元）旗下AI数据品牌，提供采集标注、数据集与标注平台,智能驾驶、智慧城市、智能家居、金融,1
AGI-Eval（美团等发起）,评测,中,中国,未核实（见 http://lmg.cipsc.org.cn/conference/lmg2025/sponsor/meituan/index.html）,美团联合上交、同济、华东师大、Datawhale 等发起的评测社区,代码/推理评测（OIBench、CoreCodeBench）、众包评测,1
字节跳动 Xpert（内部专家平台）,人类数据/专家网络,大,中国,https://xpert.bytedance.com/,字节自建大模型专家标注/评测平台（买方自建，作竞品参考）,金融、法律、医学、科研等专家标注与评测,1
阿里 晓天睿士（内部专家平台）,人类数据/专家网络,大,中国,https://www.siriser.com/siriser/home,阿里自建专家社区（买方自建，作竞品参考）,影视、法律、金融、通用复杂指令专家数据,1
腾讯 AI Expert（内部专家平台）,人类数据/专家网络,大,中国,未找到官网,腾讯自建AI专家社区（仅见媒体报道）,垂直领域专家数据,1
百度众测（内部众包/专家）,标注平台,大,中国,https://test.baidu.com/,百度众测，1700万用户、5000专业标注员，千帆平台可直接下单,SFT、RM、模型评估标注，多领域专家库,1
中文在线（语料授权）,其他,中,中国·北京（300364）,https://www.chineseall.com/,称与众多头部大模型企业签约语料授权（未具名）,网文/出版语料,0
上海数据集团,其他,大,中国·上海,未知,未检索到命名模型公司的公开合作,公共数据运营,0
慧听科技,人类数据/专家网络,小,北京,https://pitchhub.36kr.com/project/2114431354068870,语音与文本数据生产服务商（公开信息少）,语音识别、语音合成、语料文本,0
