被投公司,赛道,轮次,金额,日期,领投方,跟投方,来源链接,置信度
Fleet,RL 环境,种子轮,约 $15M,2024–2025,未明确,Sequoia Capital；Menlo Ventures；SV Angel,https://sacra.com/c/fleet/,低（搜索摘要）
Fleet,RL 环境,A 轮,$45M（估值 $725M）,约 2026-04,老股东（Sequoia、Bain Capital Ventures、Menlo、SV Angel）；The Information 称 BCV 洽谈领投,Sequoia Capital；Menlo Ventures；SV Angel,https://runtimewire.com/article/fleet-raises-45m-series-a-725m,低（搜索摘要；另见 https://www.theinformation.com/newsletters/ai-agenda/reinforcement-learning-gym-startup-buoyed-labs-appetite-training-data-reaches-750-million-valuation）
Mechanize,RL 环境,种子轮,$9.1M,2025（日期口径不一）,未披露,Nat Friedman；Daniel Gross；Patrick Collison；Dwarkesh Patel,https://techfundingnews.com/google-mechanize-1-5b-ai-deal/,中（搜索摘要）
Mechanize,RL 环境,Google 人才+授权交易,逾 $1.5B,2026-08 报道洽谈（仓库 overseas-rl 资料称 2026-09 完成，本次未核实）,Google（交易方）,无,https://siliconangle.com/2026/08/05/google-targets-ai-startup-mechanizes-technology-talent-proposed-1-5b-deal/,中（搜索摘要）
Prime Intellect,RL 环境；后训练基础设施,种子轮,$5.5M,2024-04,Distributed Global；CoinFund,未找到,https://tracxn.com/d/companies/prime-intellect/__c00KIKAVH9b1POsp5fnIynw_8joG2ie8qsqmCTAB6Bc,低（搜索摘要）
Prime Intellect,RL 环境；后训练基础设施,种子扩展轮,$15M,2025-02-28,Founders Fund,Menlo Ventures；Andrej Karpathy；Clem Delangue；Dylan Patel；Balaji Srinivasan；Emad Mostaque；Tri Dao；Sandeep Nailwal,https://www.primeintellect.ai/blog/fundraise,高（搜索摘要）
Prime Intellect,RL 环境；后训练基础设施,A 轮,$130M（估值 $1B）,2026-07-08,Radical Ventures,NVIDIA；Intel Capital；Dell Technologies Capital；老股东,https://www.primeintellect.ai/blog/series-a,高（搜索摘要）
Applied Compute,后训练基础设施,首轮,$20M,2025-06,未找到,未找到,https://siliconangle.com/2025/10/30/former-openai-researchers-launch-applied-compute-80m-funding/,中（搜索摘要）
Applied Compute,后训练基础设施,出隐身轮,$80M（据报估值约 $500M）,2025-10-30,未明确,Benchmark；Sequoia；Lux Capital,https://siliconangle.com/2025/10/30/former-openai-researchers-launch-applied-compute-80m-funding/,中（搜索摘要）
Applied Compute,后训练基础设施,新一轮,$80M（投后 $1.3B）,2026-04,Kleiner Perkins,Elad Gil；Lux；Greenoaks；NEO；Hana Bicapital；Benchmark；Abstract Ventures,https://www.lw.com/en/news/2026/04/latham-represents-applied-compute-in-fundraise,中（搜索摘要）
Applied Compute,后训练基础设施,新一轮（洽谈中）,$350M（估值约 $3–3.25B）,2026-09 报道,据报 Elad Gil,未找到,https://www.forbes.com/sites/richardnieva/2026/09/01/applied-compute-openai-the-ex-openai-guys-building-cheaper-open-source-alternative/,中（领投为低，搜索摘要）
Halluminate,RL 环境；评测,YC S25 + 种子,未披露,2025,Y Combinator,未找到,https://www.ycombinator.com/companies/halluminate,低（搜索摘要）
HUD,RL 环境；评测,A 轮,$16M,2026（约 6 月）,Standard Capital,Y Combinator；Exceptional Capital；Liquid 2 Ventures；Twenty Two Ventures；Dylan Patel；Roon；Ivan Burazin；Theo Browne,https://www.hud.ai/blog/announcing-16m-series-a,高（搜索摘要）
Deeptune,RL 环境,A 轮,$43M,2026-03-19,a16z,776；Abstract Ventures；Inspired Capital；Noam Brown；Brendan Foody；Yash Patil,https://a16z.com/announcement/investing-in-deeptune/,高（搜索摘要）
Deeptune,RL 环境,被 Mercor 收购,未披露,2026-07-09,Mercor（收购方）,无,https://fortune.com/2026/07/09/ai-unicorn-mercor-acquires-deeptune-brendan-foody-investor-a16z-openai-anthropic/,中（搜索摘要）
Bespoke Labs,RL 环境；合成数据,种子轮,$8.25M,2026 年前,8VC,Jeff Dean；Spiros Xanthos；Dheeraj Pandey,https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,高（搜索摘要）
Bespoke Labs,RL 环境；合成数据,A 轮,$31.75M（两轮合计 $40M）,2026-07-06,Wing VC,Mayfield；The House Fund；Tristan Handy；Anthropic/OpenAI/Meta 员工天使,https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,高（搜索摘要）
Veris AI,RL 环境,种子轮,$8.5M,2025-06-03,Decibel Ventures；Acrew Capital,Ian Livingstone；The House Fund；Idris Mokhtarzada；Dorothy Chang,https://www.businesswire.com/news/home/20250603868539/en/Veris-AI-Emerges-from-Stealth-with-$8.5M-to-Train-AI-Agents-Using-Simulated-Experience-Removing-Roadblocks-to-Enterprise-Adoption,高（搜索摘要）
Arga Labs,RL 环境,种子轮,$10M,2026-08-26,General Catalyst,BoxGroup；Emergence Capital；Gradient Ventures；SV Angel,https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,中（搜索摘要）
General Reasoning,RL 环境；评测,种子轮（SEC Form D）,约 $10.9M,2025-07,未找到,未找到,https://www.rl-list.com/vendors/general-reasoning,低（搜索摘要）
Proximal,RL 环境；评测,种子轮,未披露,约 2026-02,Scribble Ventures,OpenAI、Anthropic、Thinking Machines、GDM、xAI、Meta MSL、Cursor、Cognition 员工天使,https://www.linkedin.com/posts/imstusmith_excited-to-finally-share-that-scribble-ventures-activity-7430007099004432384-cqbR,低（搜索摘要）
Adaptive ML,后训练基础设施,种子轮,$20M（隐含估值约 $100M）,2024-03-12,Index Ventures,ICONIQ；Databricks Ventures；Motier Ventures；IRIS；HuggingFund by Factorial,https://www.businesswire.com/news/home/20240312461522/en/Adaptive-ML-Raises-$20M-to-Help-Companies-Build-Unique-GenAI-Experiences,高（搜索摘要）
Adaptive ML,后训练基础设施,被 Datadog 收购,未披露,2026-06-30,Datadog（收购方）,无,https://investors.datadoghq.com/news-releases/news-release-details/datadog-acquires-adaptive-ml-accelerate-its-investment-ai,高（搜索摘要）
Matrices,合成数据；RL 环境,种子轮,约 $5M,2024-03,Index Ventures,AI Grant；Naval Ravikant,https://www.vcbacked.co/company/matrices,低（搜索摘要）
Good Start Labs,RL 环境,种子轮,$3.6M,2025,未披露,General Catalyst；Inovia；Every；DeepMind 等实验室天使,https://every.to/on-every/our-new-incubation-raised-3-6-million-to-teach-ais-to-play-games,高（搜索摘要）
Huzzle Labs,RL 环境；人类数据/专家网络,种子轮（累计）,约 $6M,未找到,未找到,10X Founders；Angel Invest；Emerge；a16z Scout Fund；Thomas Wolf,https://www.startuphub.ai/startups/labs-huzzle-com,低（搜索摘要）
Origin Lab,合成数据；RL 环境（游戏世界训练数据）,种子轮,$8M,2026-05-13,Lightspeed,SV Angel；Kevin Lin；Kyle Vogt,https://www.businesswire.com/news/home/20260513129175/en/Origin-Lab-Raises-$8M-Seed-Led-by-Lightspeed-to-Build-the-Platform-Turning-Video-Game-Worlds-Into-Training-Data-for-AI,高（搜索摘要）
Deep Cogito,后训练基础设施,A 轮,$43M,2026,TQ Ventures,Benchmark；Nexus Venture Partners；Zscaler,https://www.startuphub.ai/ai-news/ai-news/2026/ai-startup-trends-aug-25-2026,低（搜索摘要）
Ineffable Intelligence,后训练基础设施（RL 优先实验室）,种子轮,$1.1B（估值 $5.1B）,2026-04,Lightspeed；Sequoia,NVIDIA；Google,https://www.cnbc.com/2026/04/27/deepmind-ineffable-intelligence-record-seed-funding-nvidia-google.html,中（搜索摘要）
General Intuition,RL 环境（游戏视频）,种子轮,$133.7M,2025-10-16,Khosla Ventures；General Catalyst,未找到,https://techcrunch.com/2025/10/16/general-intuition-lands-134m-seed-to-teach-agents-spatial-reasoning-using-video-game-clips/,中（搜索摘要）
Vals AI,评测,种子轮,$5M,2024-04,未找到,8VC；Bloomberg Beta；Sequoia；Pear VC,https://sacra.com/c/vals-ai/,低（搜索摘要）
Vals AI,评测,A 轮,$40M（估值 $400M）,2026-08-13,a16z,HRT Ventures；Next Ladder Ventures；8VC；Pear VC；Bloomberg Beta,https://www.vals.ai/blogs/series-a,高（搜索摘要）
Patronus AI,评测；RL 环境（数字世界模型）,A 轮,$17M,2024,未确认,Datadog 等（未完整确认）,https://www.patronus.ai/blog/announcing-our-17-million-series-a,低（搜索摘要）
Patronus AI,评测；RL 环境（数字世界模型）,B 轮,$50M,2026-06-25,Greenfield Partners,Notable Capital；Lightspeed；Datadog；Samsung；Factorial Capital；Gokul Rajaram,https://www.prnewswire.com/news-releases/patronus-ai-raises-50-million-series-b-and-unveils-first-digital-world-models-for-ai-agent-training-and-simulation-302811248.html,高（搜索摘要）
LMArena,评测,种子轮,$100M（估值约 $600M）,2025-05-21,a16z；UC Investments,Lightspeed；Laude Ventures；Felicis；Kleiner Perkins；The House Fund,https://www.prnewswire.com/news-releases/lmarena-secures-100m-in-seed-funding-to-bring-scientific-rigor-to-ai-reliability-302462025.html,高（搜索摘要）
LMArena,评测,A 轮,$150M（投后 $1.7B）,2026-01-06,Felicis；UC Investments,a16z；The House Fund；LDVP；Kleiner Perkins；Lightspeed；Laude Ventures,https://www.prnewswire.com/news-releases/lmarena-raises-150-million-to-build-the-worlds-most-trusted-ai-evaluation-platform-302653012.html,高（搜索摘要）
Gray Swan AI,评测（红队）；人类数据/专家网络,A 轮,$40M,2026-05-28,Wing VC；Madrona,Obvious Ventures；Snowflake Ventures；Hudson River Trading；Samsung Next；Magarac Venture Partners,https://www.grayswan.ai/news/gray-swan-announces-series-a,高（搜索摘要）
Irregular,评测（安全）,种子+A 轮合计,$80M（估值 $450M）,2025-09-17,Sequoia；Redpoint,Swish Ventures；Assaf Rappaport 等天使,https://techcrunch.com/2025/09/17/irregular-raises-80-million-to-secure-frontier-ai-models/,高（搜索摘要）
Irregular,评测（安全）,新一轮（洽谈中）,逾 $100M（估值 $1.5B）,2026-08 报道,据报 Thrive Capital；Greenoaks,未找到,https://www.calcalistech.com/ctechnews/article/13p5khsib,中（搜索摘要）
Braintrust,评测,A 轮,$36M,2024-10,a16z,未找到,https://www.braintrust.dev/blog/announcing-series-b,中（搜索摘要）
Braintrust,评测,B 轮,$80M（估值 $800M）,2026-02-17,ICONIQ,a16z；Greylock；Elad Gil；basecase capital,https://www.braintrust.dev/blog/announcing-series-b,高（搜索摘要）
Gretel,合成数据,被 NVIDIA 收购,九位数（高于 $320M 上轮估值）,2025-03-19,NVIDIA（收购方）,此前投资方：Anthos；Greylock；Moonshots；S32；Village Global,https://siliconangle.com/2025/03/19/nvidia-reportedly-acquires-gretel-320m-strengthen-ai-training-tools/,中（搜索摘要）
Haize Labs,评测（红队）,种子轮,$12.5M（投后 $100M）,2024,General Catalyst,Soma Capital；Amjad Masad；Scott Wu；Demi Guo,https://pitchbook.com/news/articles/general-catalyst-haize-labs-100-million-valuation,低（搜索摘要）
Judgment Labs,评测,种子+A 轮合计,$32M,2026-05-12,Lightspeed,Nova Global；SV Angel；Valor Equity Partners；Dynamic,https://www.judgmentlabs.ai/blogs/announcing-32m-led-by-lightspeed,高（搜索摘要）
Scorecard,评测,种子轮,$3.75M,2025-09-25,Kindred Ventures,Neo；Inception Studio；Tekton Ventures；OpenAI/Apple/Waymo/Uber/Perplexity/Meta 员工天使,https://www.scorecard.io/blog/scorecard-raises-3-75m-to-test-and-deploy-ai-agents-100x-faster,高（搜索摘要）
Apollo Research,评测（对齐）,种子轮（转 PBC）,未披露,2026-01,50Y,Juniper Ventures；Macroscopic Ventures；Common Metal；SAIF；Sarah Meyohas；Bryan Johnson 等,https://www.apolloresearch.ai/blog/apollo-research-is-becoming-a-pbc,中（日期为低，搜索摘要）
DatologyAI,合成数据/数据策展,A 轮,$46M,2024-05-08,Felicis,Radical Ventures；Amplify Partners；Elad Gil；M12；Amazon Alexa Fund,https://www.datologyai.com/blog/datologyai-raises-46m-series-a,高（搜索摘要）
Coval,评测（语音 agent 仿真）,A 轮,$28M,2026-06-24,Norwest,Base10；Twilio Ventures；Y Combinator,https://www.prnewswire.com/news-releases/coval-raises-28-million-series-a-to-define-safety-and-reliability-for-autonomous-voice-agents-302808740.html,高（搜索摘要）
