投资方,类型,地区,本赛道已投,领投过的,常投阶段和金额,对接合伙人,合伙人来源链接,公开观点原话,观点链接,投过的直接竞品,匹配度,匹配理由,置信度
蚂蚁集团（战略投资部）,战略投资,中国大陆（杭州）,光轮智能（2026-05 领投，估值超20亿美元）；简智机器人（2026-06 联合领投）；星尘智能、星海图（具身本体）,光轮智能；简智机器人,中后期较多，金额常在数亿元,纪纲（战略投资部副总裁）；齐源（投资总监，AI方向）,https://www.chnfund.com/article/AR04e1da73-1974-1946-c063-3a18e3edd362,未找到,,无（只投了具身数据）,中,【金融机构资源】蚂蚁本身就是金融场景的大买家（支付宝、财富、保险），也投数据基础设施；但战投偏后期，更现实的路径是先做客户再谈投资,低
字节跳动（投资部）,战略投资,香港/中国大陆,本赛道未找到直接数据公司；未来不远机器人（看中家庭场景数据闭环）；自变量机器人；是锦秋基金最大LP,未找到,未披露,蒋恺（香港财务投资部负责人，前 Coatue 合伙人，2026-09 加入，向 CFO 高准汇报）,https://news.pedaily.cn/202609/569061.shtml,未找到,,无（自建 Xpert 专家平台）,中,【大模型客户资源】国内最大的数据买家，新的投资负责人在香港，开始系统布局 AI 初创；但字节自建了专家平台，SimReal 更适合先做供应商,中
经纬创投 Matrix Partners China,VC,中国大陆（美元+人民币）,光轮智能（Pre-A 领投，Pre-A+ 跟投）,光轮智能（2024-05 Pre-A）,早期为主,王华东（管理合伙人）,https://startup.aliyun.com/info/1085453.html,王华东：光轮智能正迅速成为合成数据领域的国际顶尖企业，占据全球领先地位（搜索摘要）,https://startup.aliyun.com/info/1085453.html,无,中,"【美元】早期领投过数据/仿真基础设施，认可""中美双栖、服务海外实验室""的数据公司（光轮的客户包括英伟达、DeepMind）；在后训练数据方向的认知未经证实",中
顺为资本 Shunwei Capital,VC,中国大陆（美元+人民币）,简智机器人（天使领投，之后跟投）,简智机器人（2025-12 天使）,天使到成长期,耿益璇（执行董事，负责简智）,https://www.sohu.com/a/966588070_439726,耿益璇：具身智能正迈向规模落地，高质量规模化数据供给是核心突破口（搜索摘要）,https://www.sohu.com/a/966588070_439726,无,中,【美元】敢在天使轮领投数据基建；小米生态有场景，但偏硬件和具身,中
云锋基金 Yunfeng Capital,VC,香港/上海（美元+人民币）,觅蜂科技（种子跟投）；千寻智能（具身）；Corgi（美国AI保险，约3000万美元，2026-08，是其首笔美国交易）,未找到本赛道领投,成长期为主，规模超500亿元,虞锋（创始人、主席）,https://finance.sina.com.cn/stock/estate/integration/2026-08-06/doc-inimmayv4440690.shtml,未找到,,无,中,【美元】【金融机构资源：与阿里/蚂蚁生态关系深】香港主体，开始投美国 AI 和金融科技（Corgi）；阶段偏后,中
启明创投 Qiming Venture Partners,VC,中国大陆/香港（美元+人民币）,本赛道未找到；AI 领域投了超过100个项目、合计120亿元,未找到,早期到成长期,周志峰（主管合伙人，2026 Midas List 第80位）,https://www.qimingvc.com/cn/team/%E5%91%A8%E5%BF%97%E5%B3%B0,启明 2026 AI 十大展望（周志峰发布）：具身智能的有效数据要从万小时级跳到百万小时级（搜索摘要）,https://news.pedaily.cn/202607/566546.shtml,无,中,"【美元】对""数据是瓶颈""有公开判断，但只落在具身方向；可以作为 A 轮时的储备",中
国方创投 / 国方创新,VC（国资背景）,中国大陆（上海）,光轮智能（A++/A+++ 及2026-05跟投）；觅蜂科技（2026-06 天使+领投）；据量子位统计，过去一年投具身数据服务商次数最多（3次）,觅蜂科技（天使+）,中后期；人民币,张治（行业合伙人）,https://news.pedaily.cn/202606/565296.shtml,张治：觅蜂科技不仅是数据服务商，更是数据要素市场的关键基建,https://news.pedaily.cn/202606/565296.shtml,无,低,"人民币国资，看重""数据要素""和上海产业落地；和美元、跨境的叙事不太合",中
鼎晖投资（鼎晖VGC / 鼎晖百孚）,VC/PE,中国大陆（美元+人民币）,觅蜂科技（种子跟投、天使+超额追加）；枢途科技（Pre-A 联合领投）；博登智能（A+/A++ 联合投资）,枢途科技（2026-09 Pre-A）,天使到成长期,未找到,,未找到,,无,中,【美元】过去一年连续投了三家数据公司，对数据赛道很积极；但目前都是具身或传统数据服务,中
辰韬资本,VC,中国大陆（上海）,光轮智能（种子/天使/天使+，A轮加注）,未找到,种子到A轮,萧伊婷（合伙人）,https://36kr.com/p/2357911477796104,萧伊婷：算法、算力和数据是人工智能的三要素，其中合成数据是构建高质量AI模型的核心关键（搜索摘要）,https://36kr.com/p/2357911477796104,无,中,最早看好合成数据的机构之一，阶段对得上；但偏自动驾驶和具身，主要是人民币,中
峰瑞资本 FreesFund,VC,中国大陆,整数智能（A轮领投）,整数智能（2024-08）,早期,陈石（投资合伙人）,https://www.chinaventure.com.cn/news/80-20240813-382497.html,"陈石：""前沿数据缺失""已成为阻碍AI行业发展的最大障碍，解决方法是人机结合方式的""数据生产""（搜索摘要）",https://www.chinaventure.com.cn/news/80-20240813-382497.html,无（整数智能是传统标注）,中,"对""人机结合生产前沿数据""有明确判断，和专家数据+环境的叙事一致；需要核实美元能力",中
东方富海,VC,中国大陆（深圳）,光轮智能（A/A+ 联合投资）,未找到,A轮前后；人民币,王鑫（合伙人）,https://finance.sina.com.cn/roll/2025-11-19/doc-infxyazu2920960.shtml,王鑫：具身智能是人工智能发展的必然方向，而数据是制约其发展的核心瓶颈（搜索摘要）,https://finance.sina.com.cn/roll/2025-11-19/doc-infxyazu2920960.shtml,无,低,认可数据是瓶颈，但只看具身，人民币,中
琥珀资本,VC,中国大陆,光轮智能（A轮）,未找到,未披露,未找到,,琥珀资本投资人（未具名）：高质量、物理精准的仿真数据是稀缺资源（搜索摘要）,https://finance.sina.com.cn/roll/2025-11-19/doc-infxyazu2920960.shtml,无,低,只投过一笔具身仿真数据,低
三七互娱,战略投资,中国大陆（广州）,光轮智能（A轮，2026-05 超额跟投）,未找到,未披露,未找到,,三七互娱投资人（未具名）：光轮智能将高精度仿真技术用于AI训练……与三七互娱在AI产业链和数字资产方面的布局高度契合（搜索摘要）,https://finance.sina.com.cn/roll/2025-11-19/doc-infxyazu2920960.shtml,无,低,上市游戏公司做产业投资，关注3D/仿真，和金融环境关系不大,中
清新资本,VC,中国大陆,光轮智能（A++/A+++）；博登智能（A+/A++）,未找到,成长期,未找到,,未找到,,无,低,连续跟投两家数据公司，但阶段偏后,中
建投投资（建投华科）,VC（国资）,中国大陆（北京）,光轮智能（A++/A+++ 及2026-05）,未找到,成长期,未找到,,未找到,,无,低,国资财务投资，阶段偏后,中
北京市人工智能产业投资基金,VC（政府产业基金）,中国大陆（北京）,光轮智能（Pre-A+ 主导）,光轮智能（2024-10）,早期到成长期；人民币,未找到,,未找到,,无,低,北京 AI 产业基金敢在早期主导数据基础设施，但要求在北京落地、用人民币,中
中关村科学城基金,VC（政府基金）,中国大陆（北京）,光轮智能（2026-06 10亿元战略轮，领衔）,光轮智能,后期,未找到,,未找到,,无,低,政府基金，阶段偏后,中
天际资本 FutureX Capital,VC,中国大陆,恺望数据（2026-08 联合领投）,恺望数据,早期到成长期,张倩（创始合伙人）；邵海涛（合伙人，LinkedIn 搜索摘要）,https://www.sohu.com/a/762711136_121669651,未找到,,无,低,投过具身/自动驾驶数据，阶段偏后,中
北京亦庄产业升级基金,VC（政府产业基金）,中国大陆（北京）,恺望数据（2026-08 联合领投）,恺望数据,未披露,未找到,,未找到,,无,低,地方产业基金，要求本地落地,高
华方资本,VC,中国大陆,恺望数据（2026-08 联合领投）,恺望数据,未披露,未找到,,未找到,,无,低,只投过一笔具身数据,高
滴滴（战略投资）,战略投资,中国大陆（北京）,简智机器人（2026-06 联合领投）,简智机器人,未披露,未找到,,未找到,,无,低,产业战投，关注出行和具身,中
德联资本,VC,中国大陆,简智机器人（2026-06 联合领投）,简智机器人,未披露,未找到,,未找到,,无,低,只投过一笔具身数据,中
Momenta（战略投资）,战略投资,中国大陆（苏州/北京）,简智机器人（种子跟投，2026-08 A轮领投）,简智机器人,未披露,未找到,,未找到,,无,低,简智创始人来自 Momenta，属于老东家战投,中
中国电信（战略投资）,战略投资（央企）,中国大陆,觅蜂科技（2026-08 领投）,觅蜂科技,未披露,未找到,,未找到,,无,低,央企战投，看重具身数据的平台属性,中
赛富投资基金 SAIF Partners,VC,中国大陆/香港（美元+人民币）,本赛道未找到；GIM（金融垂域AI，天使+领投）,GIM（2026-06）,天使到成长期,未找到,,未找到,,无,中,【美元】【投过金融AI年轻团队】愿意在天使轮领投金融 AI,中
今日资本 Capital Today,VC,中国大陆/香港（美元）,TalentsAI（TalentsAI 官网称获其投资，未核）；智谱（早期，B3轮）；星海图,未找到,早期到成长期,徐新（创始合伙人）,https://www.cls.cn/detail/1730097,徐新（转述）：人口多、场景多，所以数据量在我们手上（搜索摘要）,https://caifuhao.eastmoney.com/news/20260803105404152054380,TalentsAI（专家数据，未核）,中,【美元】【大模型资源：智谱早期股东】如果确实投了 TalentsAI，说明认可专家数据；需要先核实,低
Sky9 Capital（天善资本）,VC,美国旧金山、波士顿/北京/上海/新加坡（美元）,本赛道未找到；月之暗面,未找到,种子到成长期；管理规模20亿美元,未找到（https://www.sky9capital.com/team/ 未能打开）,,未找到,,无,中,"【美元】【新加坡】在中美和新加坡都有团队，适合""中美双栖""的公司；赛道认知未经证实",低
蓝驰创投 BlueRun Ventures,VC,中国大陆（美元+人民币）,本赛道未找到；月之暗面、PPIO、潞晨科技（AI基础设施）,未找到,早期；新募39亿元,陈维广、朱天宇（管理合伙人）,https://www.geekpark.net/news/339166,未找到,,无,中,【美元】【大模型资源：月之暗面】重仓 AI 基础设施早期，但没有投过数据公司,中
美团龙珠 / 美团战投,战略投资,中国大陆（北京）,本赛道未找到；月之暗面（2026-05 领投20亿美元）；智谱（持股约4%）,月之暗面,中后期,朱拥华（美团龙珠创始合伙人）；陈少晖（美团CFO，负责美团战投）,https://www.21jingji.com/article/20260606/762a171888d08f153e5c5722d19563b5.html,未找到,,无,低,【大模型资源：月之暗面、智谱】可以把 SimReal 引荐给被投的大模型公司，但本身不投早期数据公司,中
阿里巴巴（战略投资）,战略投资,中国大陆（杭州）,UniPat AI（2026-09 拟领投3亿美元，估值25亿美元，同时提供每年数千万元的算力支持）,UniPat AI,后期大额,未找到,,未找到,,UniPat AI,低,【大模型客户资源：通义千问】阿里是买家，也已经重注了竞品 UniPat；更适合做客户，不适合做种子投资人,中
腾讯（投资）,战略投资,中国大陆（深圳）,UniPat AI（跟投）；语用科技（参与）；Forbes 报道腾讯向 Surge AI 采购训练数据,未找到,中后期,李朝晖（腾讯投资管理合伙人）；负责 UniPat 交易的人：未找到,https://www.36kr.com/p/681376812040583,未找到,,UniPat AI,低,【大模型客户资源：混元】是买家，已投竞品，阶段偏后,中
智谱 Z基金,战略投资,中国大陆（北京）,本赛道未找到；趋境科技等 AI 基础设施,未找到,早期；首关规模15亿元,未找到,,未找到,,无,低,【大模型客户资源：智谱】大模型公司的生态基金，更适合当渠道,中
Spinel Capital（尖晶资本）,VC,中国大陆（上海）,Abaka AI（A轮）,未找到,未披露,未找到,,未找到,,Abaka AI（多模态数据/评测）,低,投过中国团队出海做的数据公司；机构信息很少,低
Future Value Capital,VC,中国大陆（上海/福州/深圳）,Abaka AI（A轮）,未找到,未披露,未找到,,未找到,,Abaka AI（多模态数据/评测）,低,投过中国团队出海做的数据公司；机构信息很少,低
KIP中国（韩投伙伴）,VC,中国大陆（上海，韩资）,龙猫数据（Pre-B 领投，日期存疑）,龙猫数据,未披露；中国区管理7支基金，超50亿元,扈景植 Hudson Ho（中国区负责人）,https://www.itjuzi.com/investfirm/1476,未找到,,无（龙猫是传统标注）,低,只投过传统标注，也没有近期的 AI 数据交易,低
金沙江创投 GSR Ventures,VC,中国大陆（美元+人民币）,龙猫数据（A轮领投，早期）,龙猫数据,早期,朱啸虎（主管合伙人）,https://gsrventureschina.com/team,未找到,,无,低,【美元】投过传统标注，而且公开看空部分 AI 硬件，对这个赛道兴趣不明,低
华映资本,VC,中国大陆,星尘数据（A轮领投，2023）,星尘数据,早期到成长期,章高男（管理合伙人）,https://www.chinaventure.com.cn/news/108-20230104-373008.html,章高男：星尘数据是标注赛道的领先企业……我们看好星尘数据在算法辅助标注方面的技术领先性（搜索摘要）,https://www.chinaventure.com.cn/news/108-20230104-373008.html,无（星尘数据是自动驾驶标注）,低,认知停留在自动驾驶标注阶段,中
淡马锡 / Vertex（新加坡）,VC/主权基金,新加坡,本赛道未找到中国交易；2026年上半年 GIC 和淡马锡共做了13笔 AI 交易（Anthropic、OpenAI 等）；淡马锡在中国的敞口增加77亿美元，转向 AI,未找到,后期为主；Vertex 投早期,未找到,,未找到,,无,低,【新加坡】【美元】如果 SimReal 设新加坡主体，可以作为长期储备；目前没有看到早期数据交易,中
香港投资管理有限公司 HKIC（港投公司）,VC（政府基金）,香港,本赛道未找到；在 AI 方向投了商汤、银河通用等,未找到,规模620亿港元；各阶段都投,未找到,,未找到,,无,低,【香港】政府引导型基金，要求在香港落地,中
