供应商,客户或合作方,客户类型,关系类型,工作内容或领域,原文证据,来源链接,来源日期,来源类型,置信度,分段
Matrices,AI Grant,其他,投资方,种子轮约 500 万美元,"backed by Index Ventures, AI Grant (Nat Friedman & Daniel Gross), and Naval Ravikant（搜索摘要）",https://www.crunchbase.com/organization/matrices-f9d0,2024-03,第三方目录（搜索摘要）,低,overseas-rl
Haize Labs,AI21 Labs,AI 应用公司,客户,自动化红队/越狱测试,"selling to frontier labs including OpenAI, Anthropic and AI21 Labs, and raised a seed round from General Catalyst（搜索摘要）",https://www.cognitiverevolution.ai/red-teaming-o1-part-1-2-automated-jailbreaking-w-haize-labs-leonard-tang-aidan-ewart-brian-huang/,2024,访谈,中,overseas-rl
Haize Labs,AI21 Labs,AI 应用公司,客户,多百万美元红队合同,"Haize has secured multi-million dollar contracts with Anthropic, Scale AI, and AI21（搜索摘要）",https://devcuration.substack.com/p/company-spotlight-haize-labs,未知,媒体报道,低,overseas-rl
Invisible Technologies,AI21 Labs,frontier lab,合作,SFT/RLHF 专家劳动力与流程平台,AI21 and Invisible Technologies Announce Strategic Partnership... experts in SFT and RLHF,https://www.businesswire.com/news/home/20231207214420/en/AI21-and-Invisible-Technologies-Announce-Strategic-Partnership-to-Drive-AI-Adoption-for-Enterprise,2023-12-07,联合新闻稿,低,buyer-side
Adaptive ML,AT&T,企业,客户,RLOps 平台微调专用模型，嵌入 FDE（反欺诈、客服、text-to-SQL 等 50+ 用例）,AT&T has doubled its software footprint within the Adaptive Engine platform and embedded Adaptive Forward Deployed Engineers（搜索摘要）,https://en.prnasia.com/releases/global/adaptive-ml-and-at-t-expand-ai-collaboration-to-scale-specialized-models-across-enterprise-workflows-536703.shtml,2026-06-10,新闻稿,高,overseas-rl
Encord,AXA Financial,企业,客户,物理 AI 与多模态数据,"works with AI leaders like Woven by Toyota, Skydio, and Synthesia among more than 300 AI teams",https://encord.com/blog/encord-announces-60-million-series-c/,2026-02,供应商官方,高,overseas-large
Veris AI,Acrew Capital,其他,投资方,种子轮 850 万美元,$8.5M in seed funding led by Decibel Ventures and Acrew Capital（搜索摘要）,https://www.businesswire.com/news/home/20250603868539/en/Veris-AI-Emerges-from-Stealth-with-$8.5M-to-Train-AI-Agents-Using-Simulated-Experience-Removing-Roadblocks-to-Enterprise-Adoption,2025-06-03,新闻稿（搜索摘要）,高,overseas-rl
Labelbox,Adobe,企业,官网客户墙（转述）,标注平台生产用户,"Walmart, Procter & Gamble, Genentech, and Adobe use Labelbox for production workflows",https://7wdata.be/company/labelbox/,2025,二手转述（搜索摘要）,低,overseas-large
Prime Intellect,Allen AI,其他,合作,Lab 平台上可 RL 微调的开源模型,"Lab lets users run reinforcement learning on a wide range of open models from Nvidia, Arcee, Hugging Face, Allen AI, Z AI, Qwen（搜索摘要）",https://www.primeintellect.ai/blog/lab,2026-02,官方博客,低,overseas-rl
Centific,Amazon,其他,客户,融资报道列出的客户,"Centific's customers include OpenAI, Anthropic PBC, xAI Inc., Mistral AI SAS, Microsoft Corp., Google LLC",https://siliconangle.com/2025/06/25/ai-data-foundry-provider-centific-lands-60m-grow-enterprise-footprint/,2025-06-25,媒体报道,中,overseas-large
Collinear AI,Amazon,科技大厂,客户,RL 仿真环境/训练数据,works with three of the world's top four AI labs as well as household-name customers like Amazon（搜索摘要）,https://aws.amazon.com/solutions/case-studies/collinear-sagemaker/,未知,客户/合作方官方案例,高,overseas-rl
Gray Swan AI,Amazon,科技大厂,合作,Gray Swan Arena 红队竞技场赞助,"Frontier Lab sponsors: UK AISI, OpenAI, Anthropic, Amazon, Meta, and Google DeepMind（搜索摘要）",https://app.grayswan.ai/arena/about,2026,官方博客,高,overseas-rl
Invisible Technologies,Amazon,其他,客户,公司自述客户,"it works with tech giants like Microsoft and AWS, insurance provider American Family Insurance, and even the NBA's Charlotte Hornets",https://www.inc.com/ben-sherry/invisible-technologies-just-raised-100-million-to-build-out-tools-for-businesses/91241134,2025-09,媒体报道,中,overseas-large
METR,Amazon,科技大厂,合作,前沿风险评估试点,"METR has previously partnered with OpenAI, Anthropic, Google DeepMind, Meta and Amazon to pilot frontier risk assessments（搜索摘要）",https://metr.org/,2026,官方博客,中,overseas-rl
Patronus AI,Amazon,科技大厂,合作,AWS Marketplace 上架/AWS Startups 合作,Patronus AI Platform - AWS Marketplace（搜索摘要）,https://aws.amazon.com/marketplace/pp/prodview-qhhbedrtmc4zo,未知,第三方目录,中,overseas-rl
Toloka,Amazon,其他,客户,融资报道列出的客户，业务为安全评测、红队、专家数据,"now supports clients including Amazon, Microsoft, Anthropic, and Shopify",https://siliconangle.com/2025/05/07/ai-data-provider-toloka-raises-72m-funding/,2025-05-07,媒体报道,中,overseas-large
Toloka,Amazon,科技大厂,客户,专家数据 / LLM 与代理训练数据,"a trusted partner to leading frontier AI labs, model developers and enterprise clients including Amazon, Anthropic, Microsoft, poolside, Recraft and Shopify",https://nebius.com/newsroom/nebius-welcomes-bezos-expeditions-as-lead-investor-in-ai-data-business-toloka,2025-05-07,新闻稿,高,overseas-rl
Turing,Amazon,其他,客户,为这些公司生成专家级数据集,"Turing works with OpenAI, Anthropic, Meta, Google, Microsoft, Nvidia, and Amazon to generate expert-level datasets",https://www.sourcery.vc/p/exclusive-inside-the-22b-ai-research,2025-03,媒体报道（搜索摘要）,中,overseas-large
micro1,Amazon,其他,客户,客户包括前沿实验室、Microsoft、Amazon 和机器人公司 1X,"the company counts frontier AI labs, Microsoft, Amazon and robotics company 1X among its customers",https://forbes.pe/tecnologia/2026-09-23/este-joven-de-25-anos-recaudo-mas-de-us-100-millones-para-su-startup-de-datos-de-ia-con-una-valoracion-de-us4000-millones,2026-09-23,媒体报道（搜索摘要）,中,overseas-large
未具名供应商,Amazon,科技大厂,论文致谢,Nova 人工评测由第三方供应商执行,Amazon used a third-party vendor for human evaluation,https://arxiv.org/pdf/2506.12103,2025-03,技术报告（搜索摘要）,中,buyer-side
海天瑞声 SpeechOcean/DataOcean AI,Amazon,科技大厂,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高,china
海天瑞声 SpeechOcean/DataOcean AI,Amazon,科技大厂,财报披露,2019年前五大客户,2019年位居前五大客户榜单企业为三星、微软、阿里巴巴、亚马逊、腾讯,https://www.jiemian.com/article/6480308.html,2021-08,媒体报道（引招股书，搜索摘要）,低,china
Invisible Technologies,American Family Insurance,其他,客户,公司自述客户,"it works with tech giants like Microsoft and AWS, insurance provider American Family Insurance, and even the NBA's Charlotte Hornets",https://www.inc.com/ben-sherry/invisible-technologies-just-raised-100-million-to-build-out-tools-for-businesses/91241134,2025-09,媒体报道,中,overseas-large
Vals AI,Andreessen Horowitz (a16z),其他,投资方,A 轮领投 $40M，估值 $400M,Vals AI Raises $40M in Series A Funding at $400M Valuation（搜索摘要）,https://www.finsmes.com/2026/08/vals-ai-raises-40m-in-series-a-funding-at-400m-valuation.html,2026-08,媒体报道,中,overseas-rl
AfterQuery,Anthropic,frontier lab,客户,编码与金融训练数据,AfterQuery... competes with data labeling companies like Mercor to sell training data on coding and finance to AI labs like OpenAI and Anthropic.（搜索摘要）,https://x.com/Forbes/status/2048628245332127754,2026-04,媒体报道,中,overseas-rl
AfterQuery,Anthropic,frontier lab,投资方,A 轮天使跟投,"participation from The Raine Group, Y Combinator, Latitude Capital, BoxGroup, and angels from Google DeepMind, OpenAI, Anthropic, Meta Superintelligence Labs, and Microsoft AI.（搜索摘要）",https://www.businesswire.com/news/home/20260409469482/en/AfterQuery-Raises-$30-Million-Series-A-Round-at-$300-Million-Valuation,2026-04-09,新闻稿,高,overseas-rl
Andon Labs,Anthropic,frontier lab,合作,Project Vend：真实小店经营智能体实验/评测,Project Vend is a collaboration between Andon Labs... and Anthropic,https://anthropic.com/research/project-vend-1,2025-06-27,实验室官方博客,高,buyer-side
Andon Labs,Anthropic,frontier lab,合作,Project Vend：Claude 运营办公室售货店,Project Vend: Phase two（搜索摘要）,https://www.anthropic.com/research/project-vend-2,2025-12,官方博客,高,overseas-rl
Andon Labs,Anthropic,frontier lab,共建基准,Claude Opus 4.6 系统卡外部测试：Vending-Bench 2,The Claude Opus 4.6 System Card includes sections on external testing from both Apollo Research and Andon Labs（搜索摘要）,https://www-cdn.anthropic.com/0dd865075ad3132672ee0ab40b05a53f14cf5288.pdf,2026-02,系统卡,高,overseas-rl
Apollo Research,Anthropic,frontier lab,合作,Claude Opus 4.6 系统卡外部对齐测试,The Claude Opus 4.6 System Card includes sections on external testing from both Apollo Research and Andon Labs（搜索摘要）,https://www-cdn.anthropic.com/0dd865075ad3132672ee0ab40b05a53f14cf5288.pdf,2026-02,系统卡,高,overseas-rl
Bespoke Labs,Anthropic,frontier lab,合作,Terminal-Bench 智能体评测（开源基准被使用，非明确付费客户）,"Terminal-Bench, which Anthropic, OpenAI, and Google DeepMind use for agent evaluation（搜索摘要）",https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,2026-07-06,新闻稿,中,overseas-rl
Bespoke Labs,Anthropic,frontier lab,投资方,A 轮个人天使投资,"Backed by Anthropic, OpenAI, and Meta insiders, Bespoke Labs raises $40M（搜索摘要）",https://techfundingnews.com/backed-by-anthropic-openai-and-meta-insiders-bespoke-labs-raises-40m-can-better-environments-beat-bigger-models/,2026-07,媒体报道,中,overseas-rl
Centific,Anthropic,其他,客户,融资报道列出的客户,"Centific's customers include OpenAI, Anthropic PBC, xAI Inc., Mistral AI SAS, Microsoft Corp., Google LLC",https://siliconangle.com/2025/06/25/ai-data-foundry-provider-centific-lands-60m-grow-enterprise-footprint/,2025-06-25,媒体报道,中,overseas-large
Datacurve,Anthropic,frontier lab,投资方,A 轮天使跟投,"$15 million Series A in October 2025 led by Mark Goldberg at Chemistry, with participation from employees at DeepMind, Vercel, Anthropic and OpenAI.（搜索摘要）",https://homebrew.co/blog/2025/10/10/datacurve-raises-usd15-million-to-deliver-frontier-coding-data-to-help-ai-model-companies-solve-complex-problems,2025-10-10,官方博客,中,overseas-rl
Deloitte,Anthropic,frontier lab,合作,CBRN 评测：长程病毒学任务共建,Long-Form Virology Tasks: developed in collaboration with Signature Science and Deloitte Consulting,https://www-cdn.anthropic.com/7aad69bf12627d42234e01ee7c36305dc2f6a970.pdf,2025-10,系统卡（Claude Haiku 4.5，搜索摘要）,中,buyer-side
Gray Swan AI,Anthropic,frontier lab,客户,AI 红队/安全评测,"It already works with more than 20 customers, including Anthropic, OpenAI, and Meta（搜索摘要）",https://fintech.global/2026/06/01/gray-swan-raises-40m-to-secure-ai-at-the-frontier/,2026-06-01,媒体报道,中,overseas-rl
Gray Swan AI,Anthropic,frontier lab,合作,Gray Swan Arena 红队竞技场赞助,"Frontier Lab sponsors: UK AISI, OpenAI, Anthropic, Amazon, Meta, and Google DeepMind（搜索摘要）",https://app.grayswan.ai/arena/about,2026,官方博客,高,overseas-rl
HUD,Anthropic,frontier lab,客户,电脑使用 RL 环境/评测,OpenAI and Anthropic were downgraded from 'verified' to 'self-claimed' customers（搜索摘要）,https://www.rl-list.com/vendors/hud,未知,第三方目录,低,overseas-rl
Haize Labs,Anthropic,frontier lab,客户,自动化红队/越狱测试,"selling to frontier labs including OpenAI, Anthropic and AI21 Labs, and raised a seed round from General Catalyst（搜索摘要）",https://www.cognitiverevolution.ai/red-teaming-o1-part-1-2-automated-jailbreaking-w-haize-labs-leonard-tang-aidan-ewart-brian-huang/,2024,访谈,中,overseas-rl
Haize Labs,Anthropic,frontier lab,客户,多百万美元红队合同,"Haize has secured multi-million dollar contracts with Anthropic, Scale AI, and AI21（搜索摘要）",https://devcuration.substack.com/p/company-spotlight-haize-labs,未知,媒体报道,低,overseas-rl
Halluminate,Anthropic,frontier lab,客户,电脑使用 agent 环境/数据,"The company counts leading computer use model labs like OpenAI and Anthropic, alongside the two largest browser agent companies, among its customers.（搜索摘要）",https://www.contentedge.com/blog/halluminate-training-data-computer-agents,未知,媒体报道,低,overseas-rl
Handshake AI,Anthropic,frontier lab,客户,专家反馈数据,AI labs including Anthropic and OpenAI are their primary customers,https://sacra.com/research/handshake-indeed-for-data-labelers/,2026-04,分析机构（Sacra）,低,buyer-side
Handshake AI,Anthropic,frontier lab,客户,为前沿模型提供专家级反馈,providing expert-level feedback for training frontier AI models from companies like OpenAI and Anthropic,https://joinhandshake.com/blog/our-team/introducing-handshake-ai/,2025,供应商官方（搜索摘要）,中,overseas-large
Irregular,Anthropic,frontier lab,客户,网络安全评测（Claude 3.7 Sonnet）,"The company's work is cited in security evaluations for Claude 3.7 Sonnet, as well as OpenAI's o3 and o4-mini models（搜索摘要）",https://techcrunch.com/2025/09/17/irregular-raises-80-million-to-secure-frontier-ai-models,2025-09-17,媒体报道,中,overseas-rl
Irregular,Anthropic,frontier lab,共建基准,Claude Opus 4.6 系统卡：CyScenarioBench 多阶段网络攻击编排评测,"Irregular developed CyScenarioBench, which evaluates multi-stage cyber campaign orchestration（搜索摘要）",https://www-cdn.anthropic.com/0dd865075ad3132672ee0ab40b05a53f14cf5288.pdf,2026-02,系统卡,中,overseas-rl
Irregular,Anthropic,frontier lab,客户,三家实验室事故均指向同一评测供应商,"OpenAI, Anthropic and Meta each disclosed that one of their models had gone off-script during safety testing, with all three incidents happening inside evaluations run by Irregular（搜索摘要）",https://www.cnbc.com/2026/08/09/israeli-startup-irregular-linked-to-ai-hacks-openai-anthropic-meta.html,2026-08-09,媒体报道,中,overseas-rl
Irregular,Anthropic,frontier lab,客户变动（停止合作等）,暂停外部网络安全预发布评测,Anthropic paused external cyber evaluations of pre-release models after three incidents it disclosed in July（搜索摘要）,https://www.axios.com/2026/09/01/anthropic-paused-some-ai-training-after-claude-took-unauthorized-actions,2026-09-01,媒体报道,中,overseas-rl
METR,Anthropic,frontier lab,合作,Claude Opus 5.5 部署前评测（AI 研发加速风险）,METR's preliminary evaluation focused on how Claude Opus 5.5 might impact AI R&D（搜索摘要）,https://metr.org/blog/2026-09-22-claude-opus-5-5/,2026-09-22,官方博客,高,overseas-rl
Mechanize,Anthropic,frontier lab,客户,编码类 RL 环境,Mechanize has already been working with Anthropic on RL environments,https://techcrunch.com/2025/09/21/silicon-valley-bets-big-on-environments-to-train-ai-agents/,2025-09-21,媒体报道,中,buyer-side
Mechanize,Anthropic,frontier lab,客户,编码 RL 环境与评测,Named customers include Anthropic.（搜索摘要）,https://www.rl-list.com/vendors/mechanize,未知,第三方目录,低,overseas-rl
Mercor,Anthropic,frontier lab,客户,训练方法/数据（泄露事件涉及）,"a LiteLLM supply chain attack exposed training methodologies used by Meta, OpenAI, and Anthropic",https://thenextweb.com/news/meta-mercor-breach-ai-training-secrets-risk,2026-04,媒体报道,中,buyer-side
Mercor,Anthropic,frontier lab,客户,2026 H1 总收入 6.14 亿美元，约 91% 来自基础模型公司,Mercor had $614M in gross revenue in H1 2026 ... with ~91% from foundation model makers like OpenAI and Anthropic,https://www.techmeme.com/260721/p22,2026-07-21,媒体报道（The Information 转述）,中,overseas-large
Mercor,Anthropic,frontier lab,客户,超过 90% 的收入来自这三家,"More than 90% of that revenue comes from just three customers: OpenAI, Anthropic, and Google DeepMind",https://aiweekly.co/alerts/mercor-books-614m-in-h1-2026-leaning-on-openai-anthropic,2026-07,二手转述（搜索摘要）,中,overseas-large
Pareto.AI,Anthropic,其他,合作,专家整理的数据集与评测,"partnerships with leading AI research organizations, including Anthropic, Character AI, METR, and MATS",https://grokipedia.com/page/Pareto_AI,2025,二手转述（搜索摘要）,低,overseas-large
Pareto.AI,Anthropic,高校研究机构,论文致谢,标注员参与 AI 安全研究（辩论评测）,"Pareto.AI's skilled labelers contributed to AI safety research conducted by teams at UCL, ML Alignment & Theory Scholars, and Anthropic",https://pareto.ai/blog/advancing-ai-alignment-through-human-judged-llm-debates,2024,供应商官方,低,overseas-large
Proximal,Anthropic,frontier lab,投资方,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,第三方目录,低,overseas-rl
SecureBio,Anthropic,frontier lab,合作,病毒学能力测试 VCT、DNA 合成筛查规避评测,SecureBio developed and ran the Virology Capabilities Test,https://securebio.org/benchmarks/models/,2025,评测机构官网,中,buyer-side
Signature Science,Anthropic,frontier lab,合作,CBRN 评测：长程病毒学任务共建,"co-developed with Deloitte, Signature Science, and SecureBio",https://www-cdn.anthropic.com/7aad69bf12627d42234e01ee7c36305dc2f6a970.pdf,2025-10,系统卡（搜索摘要）,中,buyer-side
Snorkel AI,Anthropic,frontier lab,合作,官网合作伙伴页 Anthropic 背书,"Anthropic is committed to working with innovators like Snorkel to ensure AI systems are refined, reliable, and aligned to enterprise needs（搜索摘要）",https://snorkel.ai/partners/,未知,官方博客,中,overseas-rl
Surge AI,Anthropic,frontier lab,客户,RLHF 人类反馈,Anthropic partnered with Surge AI to gather high-quality human feedback at scale,https://www.lennysnewsletter.com/p/surge-ai-edwin-chen,2025,访谈/二手,低,buyer-side
Surge AI,Anthropic,frontier lab,论文致谢,HH-RLHF 人类偏好数据（与 MTurk、Upwork 并列）,"thanked the staff and workers at Surge AI, Amazon MTurk, and Upwork for providing most of the data",https://arxiv.org/abs/2204.05862,2022-04,论文原文致谢（搜索摘要）,低,buyer-side
Surge AI,Anthropic,frontier lab,论文致谢,Constitutional AI 论文的大部分数据由 Surge、MTurk、Upwork 提供,"We'd like to thank the staff and workers at Surge AI, Amazon MTurk, and Upwork for providing most of the data for our research",https://arxiv.org/pdf/2212.08073,2022-12,论文原文致谢,低,overseas-large
Surge AI,Anthropic,frontier lab,论文致谢,Scalable Oversight 论文由 Surge 人员招募和管理参与者,"Edwin Chen, Craig Pettit, and Scott Heiner at Surge AI recruited and managed the team of participants",https://arxiv.org/pdf/2211.03540,2022-11,论文原文致谢,低,overseas-large
Surge AI,Anthropic,frontier lab,客户,Surge 官方案例：Anthropic 用 Surge 的 RLHF 平台,Anthropic uses Surge AI's RLHF platform to train LLM Assistant with human feedback,https://surgehq.ai/blog/anthropic-surge-ai-rlhf-platform-train-llm-assistant-human-feedback,2023,供应商官方,低,overseas-large
Surge AI,Anthropic,其他,客户,Forbes 报道列出的客户,"With the support of customers such as Google, Meta, Microsoft, Anthropic, and Mistral",https://www.forbes.com/sites/phoebeliu/2025/09/17/the-ai-billionaire-youve-never-heard-of/,2025-09-17,媒体报道（搜索摘要）,中,overseas-large
Toloka,Anthropic,其他,客户,融资报道列出的客户，业务为安全评测、红队、专家数据,"now supports clients including Amazon, Microsoft, Anthropic, and Shopify",https://siliconangle.com/2025/05/07/ai-data-provider-toloka-raises-72m-funding/,2025-05-07,媒体报道,中,overseas-large
Toloka,Anthropic,frontier lab,客户,专家数据 / LLM 与代理训练数据,"a trusted partner to leading frontier AI labs, model developers and enterprise clients including Amazon, Anthropic, Microsoft, poolside, Recraft and Shopify",https://nebius.com/newsroom/nebius-welcomes-bezos-expeditions-as-lead-investor-in-ai-data-business-toloka,2025-05-07,新闻稿,高,overseas-rl
Turing,Anthropic,其他,客户,为这些公司生成专家级数据集,"Turing works with OpenAI, Anthropic, Meta, Google, Microsoft, Nvidia, and Amazon to generate expert-level datasets",https://www.sourcery.vc/p/exclusive-inside-the-22b-ai-research,2025-03,媒体报道（搜索摘要）,中,overseas-large
Turing,Anthropic,frontier lab,客户,关键需求方，用于训练数据、评测、后训练,"Clients including OpenAI, Google, Anthropic, and Meta became key demand sources",https://sacra.com/c/turing/,2025,二手转述（搜索摘要）,低,overseas-large
Upwork,Anthropic,frontier lab,论文致谢,HH-RLHF 众包对话数据,easier to incentivize very high-quality interactions on platforms such as Upwork,https://arxiv.org/abs/2204.05862,2022-04,论文原文（搜索摘要）,低,buyer-side
Vals AI,Anthropic,frontier lab,客户,模型评测结果使用（法律/金融/编程基准）,"Vals' results are utilized by OpenAI, Anthropic, Google, Meta, and xAI（搜索摘要）",https://www.citybiz.co/article/890247/vals-ai-raises-40m-to-expand-independent-ai-benchmarking/,2026-08,搜索摘要,低,overseas-rl
未具名供应商,Anthropic,frontier lab,客户,RL 环境（十多家供应商，讨论年投入超10亿美元）,Anthropic is working with more than a dozen RL environment companies as contractors,https://epoch.ai/gradient-updates/state-of-rl-envs,2025-09,分析机构（转述 The Information）,中,buyer-side
Huzzle Labs,Apple,科技大厂,官网客户墙（转述）,RL 环境/专家轨迹/评测（官网自称，未经第三方核实）,"Self-claimed customers include Apple, Lazard, and Financial Times ... no third-party verification（搜索摘要）",https://www.rl-list.com/vendors/huzzle-labs,2026,第三方目录,低,overseas-rl
TransPerfect,Apple,科技大厂,客户,Apple Intelligence 回答标注（巴塞罗那约200人）,About 200 people work on data annotation for Apple's AI models at TransPerfect's Barcelona office,https://9to5mac.com/2025/09/10/apple-ai-guideline-changes-trump/,2025-09-10,媒体报道（转述 Politico）,中,buyer-side
Mercor,Applied Compute,AI 应用公司,合作,公司法任务专家数据后训练（约2000例）,"the dataset was scaled to roughly 2,000 cases with Applied Compute",https://www.mercor.com/blog/expert-data-drives-model-performance/,2026-02,供应商博客,中,buyer-side
Deeptune,Applied Compute（Yash Patil 天使）,AI 应用公司,投资方,A 轮天使,"angels including Noam Brown (Research, OpenAI), Brendan Foody (CEO, Mercor), and Yash Patil (CEO, Applied Compute).（搜索摘要）",https://deeptune.com/blog/series-a/,2026-03,官方博客,中,overseas-rl
Prime Intellect,Arcee,其他,合作,Lab 平台上可 RL 微调的开源模型,"Lab lets users run reinforcement learning on a wide range of open models from Nvidia, Arcee, Hugging Face, Allen AI, Z AI, Qwen（搜索摘要）",https://www.primeintellect.ai/blog/lab,2026-02,官方博客,低,overseas-rl
Prime Intellect,Arcee AI,AI 应用公司,合作,INTELLECT-1 去中心化训练协作,Arcee AI's Role in the INTELLECT-1 Open Source Revolution（搜索摘要）,https://www.arcee.ai/blog/arcee-and-the-intellect-1-2,2024-11,官方博客,中,overseas-rl
Datacurve,Artificial Analysis,其他,合作,DeepSWE 基准被纳入 Coding Agent Index,DeepSWE has already replaced SWE-Bench Pro in the Artificial Analysis Coding Agent Index and has been cited by several frontier model labs（搜索摘要）,https://deepswe.datacurve.ai/blog/deepswe,2026-05,搜索摘要,低,overseas-rl
Mercor,Artificial Analysis,其他,合作,APEX-Agents-AA 独立排行榜,collaboration with Artificial Analysis on APEX-Agents-AA,https://www.mercor.com/apex/apex-agents-leaderboard/,2026,供应商官网（搜索摘要）,中,buyer-side
Uber AI Solutions,Aurora,企业,客户,50 多家企业客户中点名的两家,"more than 50 corporate customers, including the autonomous vehicle company Aurora and Niantic",https://www.forbes.com/sites/richardnieva/2025/06/20/uber-scale-data-labeling/,2025-06-20,媒体报道,中,overseas-large
数据堂 Datatang,BOUNTY COUNTRY PTY LTD,其他,财报披露,2022年前五大客户（自动驾驶/语音等训练数据）,2022年财报显示前五大客户…BOUNTY COUNTRY PTY LTD，年度销售占比4.59%,https://www.jiemian.com/article/10687034.html,2024-01,媒体报道（引2022年报，搜索摘要）,中,china
Haize Labs,Beacon Software,企业,客户变动（停止合作等）,被 Beacon 收购，转为其应用 AI 研究组服务 45 家投资组合公司,Beacon Software announced ... it has acquired Haize Labs ... The group will develop shared AI infrastructure and agent testing for Beacon's portfolio of 45 software companies（搜索摘要）,https://finance.yahoo.com/technology/ai/articles/beacon-acquires-haize-labs-power-143000206.html,2026-09-17,新闻稿,高,overseas-rl
Toloka,Bezos Expeditions,其他,投资方,领投 7200 万美元，Parakhin 任执行董事长,Bezos Expeditions is leading a $72-million investment,https://nebius.com/newsroom/nebius-welcomes-bezos-expeditions-as-lead-investor-in-ai-data-business-toloka,2025-05,新闻稿,高,overseas-large
Arga Labs,BoxGroup,其他,投资方,种子轮投资（$10M）,"General Catalyst led Arga's seed round, with BoxGroup, Emergence, Gradient and SV Angel participating（搜索摘要）",https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,2026-08-26,媒体报道,中,overseas-rl
