供应商,类型,规模,地区,官网,简介,主要领域,收录声明数
Vals AI,评测,中,美国（旧金山湾区）,https://www.vals.ai,面向法律、金融、编程、医疗真实任务的独立模型评测与基准平台，发布 Vals Index 和 Legal AI Report；规模依据：2026-08 a16z 领投 $40M A 轮、估值 $400M，累计融资约 $45M。,行业基准（法律/金融/编程）、企业私有评测,21
Patronus AI,评测/RL 环境,中,美国（旧金山）,https://www.patronus.ai,前 Meta AI 研究员创立的 LLM 自动评测与安全平台（Lynx、Percival、FinanceBench），2026 转向 Digital World Models 仿真环境；规模依据：2026-06 $50M B 轮，累计 $70M，收入一年增长 15 倍。,LLM 评测/幻觉检测、智能体 RL 环境,12
Epoch AI,评测,小,美国（远程/旧金山）,https://epoch.ai,非营利研究机构，追踪 AI 算力与能力趋势并维护 FrontierMath 等基准；规模依据：非营利、主要靠慈善资助，FrontierMath 由 OpenAI 出资委托。,数学/能力基准、AI 趋势数据,4
METR,评测,中,美国（加州伯克利）,https://metr.org,非营利机构，为 OpenAI、Anthropic 等做部署前自主能力/AI 研发风险评测，不收取实验室报酬；规模依据：近 6 个月募得约 $71M 捐赠承诺。,自主能力/时间跨度评测、前沿风险评估,7
Andon Labs,评测/RL 环境,小,美国（旧金山）/瑞典（斯德哥尔摩）,https://andonlabs.com,YC W24 AI 安全初创，打造 Vending-Bench 等长程智能体基准并运营 AI 自主经营的真实商店；规模依据：公开融资约 $0.5M、团队很小。,长程智能体基准、真实世界自主组织实验,5
Irregular (原 Pattern Labs),评测,中,以色列（特拉维夫）,https://www.irregular.com（未经核实）,前沿模型进攻性网络能力评测与防御实验室（SOLVE 框架），2026 年因沙箱误联网导致 OpenAI/Anthropic/Meta/Google 模型入侵真实公司；规模依据：Sequoia/Redpoint $80M、估值 $450M、约 35 人。,网络安全评测,10
Gray Swan AI,评测/人类数据/专家网络,中,美国（匹兹堡）,https://www.grayswan.ai,CMU 衍生 AI 安全公司，运营众包红队竞技场 Gray Swan Arena 并提供智能体安全产品；规模依据：2026-05 $40M A 轮（Wing、Madrona 领投），20+ 客户。,AI 红队、智能体安全,18
Haize Labs,评测,小,美国（纽约）,https://www.haizelabs.com,自动化红队与 LLM 评判（Judge/Haize/Monitor）初创，2026-09 被 Beacon Software 收购；规模依据：种子轮 $12.5M（General Catalyst），被收购金额未披露。,自动化红队、越狱测试,12
LMArena (Arena),评测/人类数据/专家网络,大,美国（旧金山湾区）,https://lmarena.ai,源自 UC Berkeley 的众包模型对战排行榜，2025-09 推出付费 AI Evaluations；规模依据：2026-01 $150M A 轮、估值 $1.7B，年化收入逾 $30M，月活 500 万。,众包偏好评测、排行榜,6
Apollo Research,评测,小,英国（伦敦）/美国（旧金山）,https://www.apolloresearch.ai,专注 scheming/欺骗评测的机构，原为非营利（财政托管），2026-01 转为公益公司（PBC）并推出 Watcher 监控产品；规模依据：50Y 领投种子轮（金额未披露），总人数未披露（2026-05 旧金山办公室 3 人，计划年底 10+）。,scheming/对齐评测、智能体监控,7
Arga Labs,RL 环境,小,美国旧金山,https://www.argalabs.com/,为 Salesforce、Workday、Stripe、Slack 等企业软件构建全量“数字孪生”沙箱，用于训练/测试企业 AI 代理。规模：小，2026-08 获 General Catalyst 领投 $10M 种子，上线七周 MRR 约 $4 万。,企业软件数字孪生 / 代理沙箱,6
Sciloop,人类数据/专家网络/评测,小,美国旧金山,https://www.sciloop.dev/,IPhO/IMO 奖牌得主出题，向 AI 实验室出售前沿模型做不出的数理难题数据与基准。规模：小，YC F25，约 6 人，未披露客户名。,奥赛级 STEM 推理数据,1
hillclimb,RL 环境/人类数据/专家网络,小,美国旧金山,https://www.hillclimb.com/,聚集 IMO 奖牌得主与 Putnam 高手构建数学 RL 环境，与 Nous Research 合训 Nomos 1。规模：小，YC F25，约 4 人，种子约 $1M。,数学 RL 环境 / Lean 形式化,4
Poindexter Labs,人类数据/专家网络,小,英国伦敦,https://www.poindexterlabs.ai/,以学术同行评审结构生产专家推理数据，此前经中间商供数，2026-05 首签头部实验室直签合同。规模：小，自举至 £1.6M 收入后获 £2M 种子。,数学/科学/法律/医学专家推理数据,4
BenchFlow,RL 环境/评测,小,美国旧金山,https://github.com/benchflow-ai/benchflow,通用环境/基准运行框架（SkillsBench 等），用于 RL 环境、后训练与评测。规模：小，2025-01 $1M 种子，团队极小。,代码/代理基准与环境框架,5
Cua,RL 环境/评测,小,美国旧金山,https://cua.ai/,开源 computer-use 代理沙箱、SDK 与 Cua-Bench 基准，跨 OS 桌面舰队。规模：小，YC S25，$500K 种子，开源社区活跃。,计算机使用代理沙箱,6
Applied Compute,综合,中,美国旧金山,https://www.appliedcompute.com/,前 OpenAI RL 研究员创办，为企业做定制 RL 后训练与部署（含 Nemotron）。规模：中，2026-04 以 $1.3B 估值融 $80M，洽谈 $3B+ 估值，年化收入约 $5000 万。,企业 RL 后训练,8
Snorkel AI,人类数据/专家网络/RL 环境/评测/标注平台,大,美国 Redwood City,https://snorkel.ai/,由数据标注软件转型为专家 Data-as-a-Service“数据工厂”，为前沿实验室供数据与环境并资助开放基准。规模：大，2026-09 以 $3.5B 估值融 $350M。,专家数据 / 环境 / 基准,17
Toloka,人类数据/专家网络/标注平台/评测,大,荷兰阿姆斯特丹,https://toloka.ai/,由众包平台升级为博士级专家数据与代理环境供应商，并运营 Toloka Arena 评测。规模：大，2025-05 获 Bezos Expeditions 领投 $72M，Nebius 控股。,专家数据 / 代理评测,9
Realset AI / Flatkey,人类数据/专家网络/RL 环境,小,美国,https://www.prnewswire.com/news-releases/realset-ai-and-flatkey-raise-10m-series-a-to-build-real-world-training-data-for-frontier-models-and-embodied-agents-302887825.html,Realset 采集真实工作场所专家演示、构建真实工作流 RL 环境与具身数据；Flatkey 为模型 API 聚合平台。规模：小，2026-09 联合宣布 $10M A 轮，未披露客户名。,真实世界演示/具身数据,0
Good Start Labs,RL 环境,小,美国布鲁克林,https://goodstartlabs.com/,Every 分拆，基于游戏（AI Diplomacy 等）构建 RL 环境并向前沿实验室出售代理轨迹数据。规模：小，融资约 $3.6M。,游戏类多智能体 RL 环境,2
Huzzle Labs,RL 环境/人类数据/专家网络/评测,小,英国伦敦,https://labs.huzzle.com/,为前沿实验室与欧洲受监管企业构建长时程 RL 环境、专家轨迹与评测。规模：小，累计融资约 $6M，Labs 部门约 30 人。,企业工作流 RL 环境 / 专家轨迹,3
