投资方,类型,地区,本赛道已投,领投过的,常投阶段和金额,对接合伙人,合伙人来源链接,公开观点原话,观点链接,投过的直接竞品,匹配度,匹配理由,置信度
Elad Gil,天使,美国,Applied Compute（2026-04 跟投，据报领投 $350M 新一轮）；Braintrust（B 轮）；DatologyAI（A 轮）；Scale AI（F 轮）,Applied Compute（据报）,个人基金，早期到成长期,Elad Gil（本人）,https://aiweekly.co/alerts/applied-compute-in-talks-for-3b-round-led-by-elad-gil,未找到,,Scale AI,中,覆盖后训练、评测、数据策展全链条，影响力大；投过 HeyGen。对种子轮单笔较小，可作为信号型天使。,中/低（搜索摘要）
SV Angel,VC,美国,Fleet（种子、A 轮）；Arga Labs（种子）；Origin Lab（种子）；Judgment Labs（跟投）,未找到,种子为主，跟投,未找到,,未找到,,Fleet；Arga Labs,中,种子阶段活跃跟投者，本赛道已投 4 家；投过 HeyGen。适合作为跟投方补齐轮次。,中（搜索摘要）
Altos Ventures,VC,美国（韩国背景为常识，未核实）,AfterQuery（A 轮领投 $30M，2026-04）,AfterQuery,A 轮，单笔约 $30M,Zac Mohring（入 AfterQuery 董事会）,https://www.businesswire.com/news/home/20260409469482/en/AfterQuery-Raises-$30-Million-Series-A-Round-at-$300-Million-Valuation,"""Human data is an enormous market and critical bottleneck for frontier models, and for advancing the quality of AI.""",https://www.businesswire.com/news/home/20260409469482/en/AfterQuery-Raises-$30-Million-Series-A-Round-at-$300-Million-Valuation,AfterQuery（金融专家数据+RL 环境，最直接竞品之一）,中,已投过前 Citadel Securities 创始人（AfterQuery 的 Carlos Georgescu，来自 rl-list 摘要）做金融专家数据，赛道判断完全一致；但 AfterQuery 与 SimReal 高度重叠，冲突最大。,高（新闻稿，经搜索摘要）
Y Combinator,加速器,美国,AfterQuery（W25）；HUD（W25）；Halluminate（S25）；Datacurve（W24）；Refresh（X25）；Andon Labs（W24）；Sepal AI；Cua（S25）；BenchFlow；Sciloop（F25）；hillclimb（F25）；Arga Labs（P26）；Coval,批次投资,标准批次投资（金额以 YC 官网为准，本次未检索）,投 RL 环境/数据方向的具体合伙人未找到；Gustaf Alströmer 公开评论 AfterQuery,https://techcrunch.com/2026/09/01/afterquery-reportedly-becomes-y-combinators-fastest-ever-unicorn-now-valued-at-3-2b/,未找到,https://www.ycombinator.com/companies/industry/Reinforcement%20Learning,AfterQuery；HUD；Halluminate；Datacurve；Refresh,中,本赛道孵化最多的机构，AfterQuery 成为 YC 最快独角兽；但批次内竞品多，且对已有团队意义主要在网络与客户引荐。,中（搜索摘要）
Felicis,VC,美国,Mercor（B、C 轮领投）；LMArena（A 轮联合领投）；DatologyAI（A 轮领投）；Periodic Labs（种子）,Mercor；LMArena；DatologyAI,A 轮到成长期；单笔 $46M–$350M,Sundeep Peechu（管理合伙人，Mercor，搜索摘要推断）；Peter Deng（GP，LMArena 董事会观察员）；Viviana Faga、Astasia Myers（DatologyAI）,https://x.com/pxd/status/2008573160220745912,"Peter Deng: ""Progress in AI can't be measured in labs by benchmarks alone. It needs to take into account how real people want to use these systems and what they prefer.""",https://www.prnewswire.com/news-releases/lmarena-raises-150-million-to-build-the-worlds-most-trusted-ai-evaluation-platform-302653012.html,Mercor（领投两轮）,低,赛道认知强，但深度绑定 Mercor 且偏 A 轮以后，种子阶段不对口。,高（新闻稿、本人 X 帖），经搜索摘要
Wing VC,VC,美国,Bespoke Labs（A 轮领投，2026-07）；Gray Swan AI（A 轮联合领投 $40M）,Bespoke Labs；Gray Swan AI,A 轮为主,Peter Wagner（创始合伙人，公开评论 Bespoke Labs 投资）；Jake Flomenberg（与 Gray Swan 相关，搜索摘要）,https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,"Wing 官方 X: ""AI agents are unreliable. That's the single biggest thing standing between today's demos and the coworker-grade agents everyone keeps promising.""；另有研究文 ""Who Will Win the RL Environment Market—and Why""（大意：瓶颈在验证而不在采集数据，搜索摘要）",https://x.com/Wing_VC/status/2074160585529585979；https://www.wing.vc/content/who-will-win-the-rl-environment-market--and-why,Bespoke Labs（RL 环境）,中,发表过 RL 环境市场专题研究，强调验证器——与 SimReal 的验证器卖点直接对应；但已投 Bespoke，偏 A 轮。,高（新闻稿、官方 X）/低（研究文摘要）
Radical Ventures,VC,加拿大（多伦多）/美国,Prime Intellect（A 轮领投 $130M，2026-07）；DatologyAI（种子、A 轮跟投）,Prime Intellect,A 轮及以后；领投单笔 $130M,"未找到具体合伙人；官方投资文 ""Prime Intellect: Owning the Learning Loop""",https://radical.vc/prime-intellect-owning-the-learning-loop/,未找到,,Prime Intellect（开源 RL 环境平台）,低,偏大额 A 轮，已投 Prime Intellect；种子阶段匹配度低。,中（搜索摘要）
Bain Capital Ventures,VC,美国,Fleet（A 轮，据 The Information 为洽谈中的领投方）,Fleet（据报）,新募 $16 亿基金，主题含 AI 基础设施,未找到,https://techcrunch.com/2026/09/17/how-bain-capital-ventures-plans-to-deploy-its-fresh-1-6b-fund/,未找到,,Fleet,低,已投 Fleet，负责人不明，阶段偏 A 轮。,低（搜索摘要）
Standard Capital,VC,美国,HUD（A 轮领投 $16M，2026-06）,HUD,自称 AI-native A 轮基金,Dalton Caldwell（领投 HUD）,https://www.linkedin.com/posts/daltoncaldwell_hud-standard-capital-series-a-activity-7473502415812448256-wRab,"""HUD is to ScaleAI what Airbnb is to Hilton.""（搜索摘要）",https://www.linkedin.com/posts/daltoncaldwell_hud-standard-capital-series-a-activity-7473502415812448256-wRab,HUD（RL 环境平台）,中,对 RL 环境市场有明确判断；但专做 A 轮，适合作为下一轮储备。,高（本人 LinkedIn 帖，经搜索摘要）
Scribble Ventures,VC,美国,Proximal（种子领投，约 2026-02）；Poolside,Proximal,pre-seed 到 A 轮，单笔约 $30 万–75 万（搜索摘要）；管理规模 $2.16 亿,Elizabeth Weil（创始人/管理合伙人）；Stu Smith（发布 Proximal 投资帖）,https://www.scribble.vc/elizabeth-weil,未找到,,Proximal（编码 RL 环境）,高,种子领投过 RL 环境公司，单笔小、决策快，适合作为种子领投或早期锚定。,中/低（搜索摘要）
Benchmark,VC,美国,Mercor（A 轮领投，B/C 轮跟投）；Applied Compute（跟投）；Deep Cogito（跟投）,Mercor（A 轮）,A 轮为主,未找到,,未找到,,Mercor,低,深度绑定 Mercor；领投 Manus 后遭美国财政部 OISP 审查，对华人/中国相关团队可能更谨慎（推断）。,中（搜索摘要）
Founders Fund,VC,美国,Prime Intellect（种子扩展领投 $15M，2025-02）；Scale AI（老股东）,Prime Intellect（种子扩展）,种子到成长期,未找到,,"未找到（合伙人 Delian Asparouhov 对 Benchmark/Manus 被审查一事称 ""wow, actions have consequences?""，对华态度偏鹰派）",https://techcrunch.com/2025/05/09/the-us-is-reviewing-benchmarks-investment-into-chinese-ai-startup-manus/,Prime Intellect；Scale AI,低,投过 RL 平台，但合伙人对华态度偏鹰派，中国籍创始人需谨慎。,中（TechCrunch 转述，经搜索摘要）
Thrive Capital,VC,美国,Scale AI（老股东）；Irregular（据报领投新一轮）,Irregular（据报）,成长期为主,未找到,,未找到,,Scale AI,低,阶段偏后；投过 HeyGen（切割中国投资人之后）。,低（搜索摘要）
Khosla Ventures,VC,美国,General Intuition（种子联合领投 $133.7M）,General Intuition,种子到成长期,未找到,,"Vinod Khosla: ""We are very clear. We'll never be in China.""",https://finance.yahoo.com/news/openai-investor-vinod-khosla-vocal-090700751.html,未找到,低,公开明确对华强硬，中国籍创始人团队匹配度低。,中（Fortune/Yahoo，经搜索摘要）
BoxGroup,VC,美国,AfterQuery（早期股东，A 轮跟投）；Arga Labs（种子跟投）,未找到,种子为主，跟投,未找到,,未找到,,AfterQuery；Arga Labs,中,同时投了 AfterQuery（前 Citadel Securities 创始人）和 Arga（Goldman 背景 CTO），熟悉金融背景团队做 AI 数据；作为跟投方合适。,中（新闻稿，经搜索摘要）
Abstract Ventures,VC,美国,Deeptune（A 轮跟投）；Applied Compute（跟投）,未找到,跟投,未找到,,未找到,,Deeptune,中,在 RL 环境和后训练两边都有跟投。,中（搜索摘要）
8VC,VC,美国,Bespoke Labs（种子领投 $8.25M）；Vals AI（种子、A 轮）,Bespoke Labs（种子）,种子到 A 轮；种子单笔约 $8M,未找到,,未找到,,Bespoke Labs,中,领投过 RL 环境种子轮，同时是评测公司 Vals 的老股东；已投 Bespoke 构成冲突。,高（新闻稿，经搜索摘要）
Insight Partners,VC,美国,Snorkel AI（E 轮联合领投 $350M，2026-09）,Snorkel AI,成长期,Lonne Jaffe（董事总经理）,https://www.insightpartners.com/ideas/behind-the-investment-snorkel-ai/,"""Snorkel's research-grade approach to AI data, environments, and measurement is becoming an increasingly important ingredient in building capable and reliable AI systems""",https://techcrunch.com/2026/09/22/snorkel-ai-triples-valuation-to-3-5b-as-demand-for-ai-training-data-booms/,Snorkel AI（专家数据+RL 环境）,低,成长期基金，种子阶段不对口；可作为后期参照。,中（搜索摘要）
S32,VC,美国,Snorkel AI（E 轮联合领投）；Gretel（此前投资方）,Snorkel AI,成长期为主,未找到,,未找到,,Snorkel AI,低,阶段偏后。,中（搜索摘要）
Addition,VC,美国,Snorkel AI（D 轮领投 $100M，E 轮跟投）,Snorkel AI,成长期,未找到,,未找到,,Snorkel AI,低,阶段偏后。,高（新闻稿，经搜索摘要）
Vanara Capital,VC,美国,Invisible Technologies（$100M 领投，2025-09）,Invisible Technologies,成长期（TPG 分拆，首笔公开交易）,Hayden Lekacz（联合创始人/管理合伙人，入董事会）；Neil Kamath（联合创始人/管理合伙人）,https://www.businesswire.com/news/home/20250916425748/en/Invisible-Technologies-Raises-$100-Million-to-Power-the-Next-Generation-of-AI-Infrastructure-for-the-Enterprise,"""Invisible is optimizing the adoption of enterprise AI at scale, building the foundational layer of the AI ecosystem that enterprises need, but few have figured out.""",https://www.businesswire.com/news/home/20250916425748/en/Invisible-Technologies-Raises-$100-Million-to-Power-the-Next-Generation-of-AI-Infrastructure-for-the-Enterprise,Invisible Technologies,低,成长期基金。,高（新闻稿，经搜索摘要）
01 Advisors,VC,美国,micro1（A 轮领投 $35M，2025-09）,micro1,A 轮,Adam Bain（联合创始人，入 micro1 董事会）；Dick Costolo,https://techcrunch.com/2025/09/12/micro1-a-competitor-to-scale-ai-raises-funds-at-500m-valuation/,未找到,,micro1,低,已投 micro1（专家数据直接竞品），阶段偏 A 轮。,中（搜索摘要）
Accel,VC,美国/欧洲,Scale AI（F 轮领投 $1B）；Periodic Labs（种子）,Scale AI（F 轮）,种子到成长期,未找到,,未找到,,Scale AI,低,本赛道只有 Scale 一笔大额，未见早期 RL 环境投资。,高（新闻稿，经搜索摘要）
Madrona,VC,美国（西雅图）,Gray Swan AI（A 轮联合领投 $40M）,Gray Swan AI,A 轮,Vivek Ramaswami（合伙人）,https://www.madrona.com/gray-swan-series-a/,"""I have never heard such a chorus of praise for one company.""（搜索摘要）",https://www.madrona.com/gray-swan-series-a/,未找到,中,领投过红队/评测公司，无 RL 环境竞品冲突；阶段偏 A 轮。,高（官方文，经搜索摘要）
Greenfield Partners,VC,以色列/美国,Patronus AI（B 轮领投 $50M，2026-06）,Patronus AI,B 轮,Itay Inbar（合伙人）,https://www.prnewswire.com/news-releases/patronus-ai-raises-50-million-series-b-and-unveils-first-digital-world-models-for-ai-agent-training-and-simulation-302811248.html,"""The future of AI will depend on systems that can learn and operate reliably in complex environments, and simulations are becoming essential to making that possible.""",https://www.prnewswire.com/news-releases/patronus-ai-raises-50-million-series-b-and-unveils-first-digital-world-models-for-ai-agent-training-and-simulation-302811248.html,Patronus AI（数字世界模型/agent 训练仿真）,低,观点吻合，但阶段为 B 轮。,高（新闻稿，经搜索摘要）
Decibel Ventures,VC,美国,Veris AI（种子联合领投 $8.5M，2025-06）,Veris AI,种子,未找到,,未找到,,Veris AI（企业 agent 模拟环境）,中,领投过 RL 环境种子轮，阶段对口；负责人未找到。,高（新闻稿，经搜索摘要）
Acrew Capital,VC,美国,Veris AI（种子联合领投）；Invisible Technologies（老股东）,Veris AI,种子到成长期,未找到,,未找到,,Veris AI；Invisible Technologies,中,种子领投过 RL 环境公司，并持有专家数据公司股份。,高（新闻稿，经搜索摘要）
Lux Capital,VC,美国,Applied Compute（2025-10、2026-04 跟投）,未找到,种子到成长期,未找到,,未找到,,未找到,中,持续加注后训练平台，无直接竞品冲突。,中（搜索摘要）
Redpoint,VC,美国,Irregular（$80M 联合领投）,Irregular,种子到 A 轮,未找到,,未找到,,未找到,中,领投过前沿模型安全评测公司，无直接竞品冲突。,高（TechCrunch，经搜索摘要）
Emergence Capital,VC,美国,Arga Labs（种子跟投）,未找到,种子到 A 轮,未找到,,未找到,,Arga Labs,中,投过企业 RL 沙箱；另据摘要为 Genspark 早期投资人（前百度团队），对华人团队友好（低）。,低（搜索摘要）
Gradient Ventures（Google）,战略投资,美国,Arga Labs（种子跟投）,未找到,种子,未找到,,未找到,,Arga Labs,中,Google 旗下种子基金，投过企业 RL 沙箱；Google 同时是 RL 环境大买家（Mechanize 交易）。,中（搜索摘要）
Bezos Expeditions,VC,美国,Toloka（$72M 领投，2025-05）,Toloka,成长期,未找到（Mikhail Parakhin 随之任 Toloka 执行董事长）,https://toloka.ai/blog/toloka-strategic-investment-led-by-bezos-expeditions/,未找到,,Toloka（专家数据）,低,阶段偏后，已投 Toloka。,高（官网，经搜索摘要）
NVIDIA（NVentures）,战略投资,美国,Prime Intellect（A 轮跟投）；Ineffable Intelligence（种子）；Scale AI（老股东）；据报洽谈入股 Mercor；收购 Gretel（合成数据）,未找到,跟投为主,未找到,,未找到,,Prime Intellect；Scale AI；Mercor（洽谈）,低,战略投资多在后期，且覆盖多家竞品；对华合规敏感。,中（搜索摘要）
GV（Google Ventures）,战略投资,美国,Snorkel AI（E 轮跟投）,未找到,种子到成长期,未找到,,未找到,,Snorkel AI,低,本赛道只见 Snorkel 后期跟投。,中（搜索摘要）
Datadog,战略投资,美国,Patronus AI（A、B 轮跟投）；收购 Adaptive ML（2026-06）,未找到,战略跟投/收购,未找到,,未找到,,Patronus AI,中,通过收购 Adaptive ML 成为后训练/RL 买家，是潜在战略方与退出方。,高（Datadog 投资者公告，经搜索摘要）
Samsung Next / Samsung,战略投资,韩国/美国,Gray Swan AI（A 轮跟投）；Patronus AI（B 轮跟投）,未找到,跟投,未找到,,未找到,,未找到,中,韩国战略方，连投两家评测公司；无 RL 环境竞品。,高（新闻稿，经搜索摘要）
Intel Capital,战略投资,美国,Prime Intellect（A 轮跟投）；Scale AI（F 轮）,未找到,跟投,未找到,,未找到,,Prime Intellect；Scale AI,低,后期战略跟投。,中（搜索摘要）
Dell Technologies Capital,战略投资,美国,Prime Intellect（A 轮跟投）,未找到,跟投,未找到,,未找到,,Prime Intellect,低,后期战略跟投。,中（搜索摘要）
Susquehanna International Group（SIG）,战略投资,美国（费城）,Deccan AI（A 轮跟投 $25M，2026-03，印度专家数据）,未找到,跟投,未找到,,未找到,,Deccan AI（人类数据）,高,量化做市机构投人类数据公司，与 SimReal 量化背景+专家数据叙事契合。,中（TechCrunch，经搜索摘要）
Jane Street,战略投资,美国（纽约）,Numerata（AI 编程工具种子领投，与 CoreWeave 联投；非本赛道）,Numerata（非本赛道）,种子（战略）,未找到,https://www.coreweave.com/news/jane-street-and-coreweave-announce-seed-investment-in-numerata-developer-of-ai-powered-software-development-tools,未找到,,未找到,中,SimReal 团队的前东家之一，已有以机构名义领投 AI 种子轮的先例；也是潜在客户（金融 RL 环境）。需注意前雇主关系。,高（CoreWeave 新闻稿，经搜索摘要）
The Raine Group,VC,美国,AfterQuery（A 轮跟投）,未找到,跟投,未找到,,未找到,,AfterQuery,中,商人银行背景，投过金融背景团队做专家数据；冲突同 AfterQuery。,高（新闻稿，经搜索摘要）
Mayfield,VC,美国,Bespoke Labs（A 轮跟投）,未找到,种子到 A 轮,未找到,,未找到,,Bespoke Labs,中,投过 RL 环境公司，种子阶段活跃。,高（新闻稿，经搜索摘要）
Pear VC,VC,美国,Vals AI（种子、A 轮）；BenchFlow（种子 $1M）,未找到,pre-seed 到种子,未找到,,未找到,,未找到,中,种子阶段评测公司股东，无 RL 环境直接冲突。,中（搜索摘要）
Kindred Ventures,VC,美国,Scorecard（种子领投 $3.75M，2025-09）,Scorecard,种子,未找到,https://kindredventures.com/announcement/scorecard-solving-ai-agent-evaluation-at-scale/,未找到,,未找到,中,种子领投过 agent 评测公司，无冲突。,高（官网，经搜索摘要）
Episode 1 Ventures,VC,英国（伦敦）,Poindexter Labs（种子领投 £2M，2026-06）,Poindexter Labs,种子,未找到,,未找到,,Poindexter Labs（训练数据）,中,欧洲少数领投 AI 训练数据种子轮的机构。,中（tech.eu，经搜索摘要）
776,VC,美国,Deeptune（A 轮跟投）,未找到,种子到 A 轮,未找到,,未找到,,Deeptune,中,投过 RL 环境公司。,中（搜索摘要）
Nat Friedman & Daniel Gross（AI Grant / NFDG）,天使,美国,Mechanize（种子）；Matrices（AI Grant）；Scale AI（Nat Friedman）,未找到,AI Grant：每家约 $25 万无上限 SAFE + 云额度（第三方摘要）,Nat Friedman；Daniel Gross（二人 2025-06 加入 Meta，AI Grant 2026 年是否开放批次未确认）,https://www.datacenterdynamics.com/en/news/meta-in-talks-to-partially-acquire-vc-fund-nfdg-hire-nat-friedman-and-daniel-gross-for-ai-shakeup/,未找到,,Mechanize；Scale AI,低,二人已进入 Meta MSL，作为投资人可及性下降，但 Meta 是 RL 环境大买家。,低/中（搜索摘要）
Brendan Foody（Mercor CEO）,天使,美国,Deeptune（A 轮天使，随后 Mercor 收购）,未找到,天使,本人,https://fortune.com/2026/07/09/ai-unicorn-mercor-acquires-deeptune-brendan-foody-investor-a16z-openai-anthropic/,"Sequoia 播客 ""How RL Environments Are Built, and Why They're Your AI Moat""（仅标题，未取得原话）",https://finance.biggo.com/podcast/4135dc09c35e841c,本人即 Mercor 创始人,低,直接竞品创始人；天使投资可能是收购前奏，需谨慎。,中（Fortune，经搜索摘要）
Noam Brown（OpenAI）,天使,美国,Deeptune（A 轮天使）,未找到,天使,本人,,未找到,,Deeptune,中,前沿实验室 RL 研究员，背书价值高；可及性低。,中（搜索摘要）
Yash Patil（Applied Compute CEO）,天使,美国,Deeptune（A 轮天使）,未找到,天使,本人,,未找到,,Deeptune,中,后训练创业者，天使投资 RL 环境公司；Applied Compute 亦为潜在客户。,中（搜索摘要）
Jeff Dean（Google）,天使,美国,Bespoke Labs（种子天使）,未找到,天使,本人,https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,未找到,,Bespoke Labs,中,顶级背书，可及性低。,高（新闻稿，经搜索摘要）
Dylan Patel（SemiAnalysis）,天使,美国,HUD（A 轮天使）；Prime Intellect（种子扩展天使）,未找到,天使,本人,https://www.hud.ai/blog/announcing-16m-series-a,未找到,,HUD；Prime Intellect,中,活跃的 RL 基础设施天使，影响力大。,高（公司博客，经搜索摘要）
Patrick Collison,天使,美国,Mechanize（种子）,未找到,天使,本人,https://techfundingnews.com/google-mechanize-1-5b-ai-deal/,未找到,,Mechanize,低,可及性低，且已投 Mechanize。,中（搜索摘要）
