分段,被投公司,赛道,轮次,金额,日期,领投方,跟投方,来源链接,置信度
海外,micro1,人类数据/专家网络,A 轮,$35M（估值 $500M）,2025-09-12,01 Advisors,未找到,https://techcrunch.com/2025/09/12/micro1-a-competitor-to-scale-ai-raises-funds-at-500m-valuation/,中（搜索摘要）
海外,micro1,人类数据/专家网络,新一轮,逾 $100M（估值 $4B）,2026-09-22 报道,未披露,两家前沿 AI 实验室；两位 xAI 联合创始人（未具名）；部分客户,https://www.forbes.com/sites/annatong/2026/09/22/this-25-year-old-raised-over-100-million-for-his-ai-data-startup-at-a-4-billion-valuation/,中（搜索摘要）
海外,AfterQuery,人类数据/专家网络；RL 环境,A 轮,$30M（估值 $300M）,2026-04-09,Altos Ventures,The Raine Group；Y Combinator；BoxGroup；Latitude Capital；来自 Google DeepMind/OpenAI/Anthropic/Meta MSL/Microsoft AI 的天使,https://www.businesswire.com/news/home/20260409469482/en/AfterQuery-Raises-$30-Million-Series-A-Round-at-$300-Million-Valuation,高（搜索摘要）
海外,AfterQuery,人类数据/专家网络；RL 环境,新一轮（报道为 B 轮）,未披露（估值 $3.2B）,2026-09-01 报道,未披露,未披露,https://techcrunch.com/2026/09/01/afterquery-reportedly-becomes-y-combinators-fastest-ever-unicorn-now-valued-at-3-2b/,中（搜索摘要）
海外,Datacurve,人类数据/专家网络,种子轮,$2.7M,2025-10 之前,未找到,Y Combinator；Balaji Srinivasan,https://techcrunch.com/2025/10/09/datacurve-raises-15-million-to-take-on-scaleai/,中（搜索摘要）
海外,Datacurve,人类数据/专家网络,A 轮,$15M,2025-10-09,Chemistry,DeepMind、Vercel、Anthropic、OpenAI 员工,https://techcrunch.com/2025/10/09/datacurve-raises-15-million-to-take-on-scaleai/,中（搜索摘要）
海外,Toloka,人类数据/专家网络；评测,战略投资,$72M,2025-05-07,Bezos Expeditions,Mikhail Parakhin（任执行董事长）；Nebius 保留多数经济权益,https://toloka.ai/blog/toloka-strategic-investment-led-by-bezos-expeditions/,高（搜索摘要）
海外,Snorkel AI,人类数据/专家网络；RL 环境,D 轮,$100M（估值 $1.3B）,2025-05-29,Addition,Prosperity 7 Ventures；Greylock；Lightspeed；BNY；QBE Ventures,https://www.businesswire.com/news/home/20250529083998/en/Snorkel-AI-Announces-$100-Million-Series-D-and-Expanded-Platform-to-Power-Next-Phase-of-AI-with-Expert-Data,高（搜索摘要）
海外,Snorkel AI,人类数据/专家网络；RL 环境,E 轮,$350M（估值 $3.5B）,2026-09-22,Insight Partners；S32,Addition；Greylock；Wells Fargo；GV；Lightspeed,https://techcrunch.com/2026/09/22/snorkel-ai-triples-valuation-to-3-5b-as-demand-for-ai-training-data-booms/,中（搜索摘要）
海外,Pareto.AI,人类数据/专家网络,种子/A 轮（口径不一）,约 $13M–$17.8M（累计）,2025,未找到,Plural；Browder Capital；Envision Accelerator；Fearless Fund；Huskeys,https://www.startuphub.ai/investment_rounds/pareto-ai-series-a-round/,低（搜索摘要）
海外,Deccan AI,人类数据/专家网络,A 轮,$25M,2026-03-25,A91 Partners,Susquehanna International Group；Prosus Ventures,https://techcrunch.com/2026/03/25/deccan-ai-raises-25m-as-ai-training-push-relies-on-india-based-workforce,中（搜索摘要）
海外,Poindexter Labs,人类数据/专家网络,种子轮,£2M,2026-06-02,Episode 1 Ventures,Evertrue Capital；Octopus Ventures First Cheque Fund,https://tech.eu/2026/06/02/poindexter-labs-raises-ps2m-to-improve-training-data-for-advanced-ai/,中（搜索摘要）
海外,Realset AI / Flatkey,人类数据/专家网络；RL 环境,A 轮,$10M,2026-09-23,未披露,未披露,https://www.prnewswire.com/news-releases/realset-ai-and-flatkey-raise-10m-series-a-to-build-real-world-training-data-for-frontier-models-and-embodied-agents-302887825.html,高（金额；搜索摘要）
海外,Fleet,RL 环境,种子轮,约 $15M,2024–2025,未明确,Sequoia Capital；Menlo Ventures；SV Angel,https://sacra.com/c/fleet/,低（搜索摘要）
海外,Fleet,RL 环境,A 轮,$45M（估值 $725M）,约 2026-04,老股东（Sequoia、Bain Capital Ventures、Menlo、SV Angel）；The Information 称 BCV 洽谈领投,Sequoia Capital；Menlo Ventures；SV Angel,https://runtimewire.com/article/fleet-raises-45m-series-a-725m,低（搜索摘要；另见 https://www.theinformation.com/newsletters/ai-agenda/reinforcement-learning-gym-startup-buoyed-labs-appetite-training-data-reaches-750-million-valuation）
海外,Mechanize,RL 环境,种子轮,$9.1M,2025（日期口径不一）,未披露,Nat Friedman；Daniel Gross；Patrick Collison；Dwarkesh Patel,https://techfundingnews.com/google-mechanize-1-5b-ai-deal/,中（搜索摘要）
海外,Mechanize,RL 环境,Google 人才+授权交易,逾 $1.5B,2026-08 报道洽谈（仓库 overseas-rl 资料称 2026-09 完成，本次未核实）,Google（交易方）,无,https://siliconangle.com/2026/08/05/google-targets-ai-startup-mechanizes-technology-talent-proposed-1-5b-deal/,中（搜索摘要）
海外,Prime Intellect,RL 环境；后训练基础设施,种子轮,$5.5M,2024-04,Distributed Global；CoinFund,未找到,https://tracxn.com/d/companies/prime-intellect/__c00KIKAVH9b1POsp5fnIynw_8joG2ie8qsqmCTAB6Bc,低（搜索摘要）
海外,Prime Intellect,RL 环境；后训练基础设施,种子扩展轮,$15M,2025-02-28,Founders Fund,Menlo Ventures；Andrej Karpathy；Clem Delangue；Dylan Patel；Balaji Srinivasan；Emad Mostaque；Tri Dao；Sandeep Nailwal,https://www.primeintellect.ai/blog/fundraise,高（搜索摘要）
海外,Prime Intellect,RL 环境；后训练基础设施,A 轮,$130M（估值 $1B）,2026-07-08,Radical Ventures,NVIDIA；Intel Capital；Dell Technologies Capital；老股东,https://www.primeintellect.ai/blog/series-a,高（搜索摘要）
海外,Applied Compute,后训练基础设施,首轮,$20M,2025-06,未找到,未找到,https://siliconangle.com/2025/10/30/former-openai-researchers-launch-applied-compute-80m-funding/,中（搜索摘要）
海外,Applied Compute,后训练基础设施,出隐身轮,$80M（据报估值约 $500M）,2025-10-30,未明确,Benchmark；Sequoia；Lux Capital,https://siliconangle.com/2025/10/30/former-openai-researchers-launch-applied-compute-80m-funding/,中（搜索摘要）
海外,Applied Compute,后训练基础设施,新一轮,$80M（投后 $1.3B）,2026-04,Kleiner Perkins,Elad Gil；Lux；Greenoaks；NEO；Hana Bicapital；Benchmark；Abstract Ventures,https://www.lw.com/en/news/2026/04/latham-represents-applied-compute-in-fundraise,中（搜索摘要）
海外,Applied Compute,后训练基础设施,新一轮（洽谈中）,$350M（估值约 $3–3.25B）,2026-09 报道,据报 Elad Gil,未找到,https://www.forbes.com/sites/richardnieva/2026/09/01/applied-compute-openai-the-ex-openai-guys-building-cheaper-open-source-alternative/,中（领投为低，搜索摘要）
海外,Halluminate,RL 环境；评测,YC S25 + 种子,未披露,2025,Y Combinator,未找到,https://www.ycombinator.com/companies/halluminate,低（搜索摘要）
海外,HUD,RL 环境；评测,A 轮,$16M,2026（约 6 月）,Standard Capital,Y Combinator；Exceptional Capital；Liquid 2 Ventures；Twenty Two Ventures；Dylan Patel；Roon；Ivan Burazin；Theo Browne,https://www.hud.ai/blog/announcing-16m-series-a,高（搜索摘要）
海外,Deeptune,RL 环境,A 轮,$43M,2026-03-19,a16z,776；Abstract Ventures；Inspired Capital；Noam Brown；Brendan Foody；Yash Patil,https://a16z.com/announcement/investing-in-deeptune/,高（搜索摘要）
海外,Deeptune,RL 环境,被 Mercor 收购,未披露,2026-07-09,Mercor（收购方）,无,https://fortune.com/2026/07/09/ai-unicorn-mercor-acquires-deeptune-brendan-foody-investor-a16z-openai-anthropic/,中（搜索摘要）
海外,Bespoke Labs,RL 环境；合成数据,种子轮,$8.25M,2026 年前,8VC,Jeff Dean；Spiros Xanthos；Dheeraj Pandey,https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,高（搜索摘要）
海外,Bespoke Labs,RL 环境；合成数据,A 轮,$31.75M（两轮合计 $40M）,2026-07-06,Wing VC,Mayfield；The House Fund；Tristan Handy；Anthropic/OpenAI/Meta 员工天使,https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,高（搜索摘要）
海外,Veris AI,RL 环境,种子轮,$8.5M,2025-06-03,Decibel Ventures；Acrew Capital,Ian Livingstone；The House Fund；Idris Mokhtarzada；Dorothy Chang,https://www.businesswire.com/news/home/20250603868539/en/Veris-AI-Emerges-from-Stealth-with-$8.5M-to-Train-AI-Agents-Using-Simulated-Experience-Removing-Roadblocks-to-Enterprise-Adoption,高（搜索摘要）
海外,Arga Labs,RL 环境,种子轮,$10M,2026-08-26,General Catalyst,BoxGroup；Emergence Capital；Gradient Ventures；SV Angel,https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,中（搜索摘要）
海外,General Reasoning,RL 环境；评测,种子轮（SEC Form D）,约 $10.9M,2025-07,未找到,未找到,https://www.rl-list.com/vendors/general-reasoning,低（搜索摘要）
海外,Proximal,RL 环境；评测,种子轮,未披露,约 2026-02,Scribble Ventures,OpenAI、Anthropic、Thinking Machines、GDM、xAI、Meta MSL、Cursor、Cognition 员工天使,https://www.linkedin.com/posts/imstusmith_excited-to-finally-share-that-scribble-ventures-activity-7430007099004432384-cqbR,低（搜索摘要）
海外,Adaptive ML,后训练基础设施,种子轮,$20M（隐含估值约 $100M）,2024-03-12,Index Ventures,ICONIQ；Databricks Ventures；Motier Ventures；IRIS；HuggingFund by Factorial,https://www.businesswire.com/news/home/20240312461522/en/Adaptive-ML-Raises-$20M-to-Help-Companies-Build-Unique-GenAI-Experiences,高（搜索摘要）
海外,Adaptive ML,后训练基础设施,被 Datadog 收购,未披露,2026-06-30,Datadog（收购方）,无,https://investors.datadoghq.com/news-releases/news-release-details/datadog-acquires-adaptive-ml-accelerate-its-investment-ai,高（搜索摘要）
海外,Matrices,合成数据；RL 环境,种子轮,约 $5M,2024-03,Index Ventures,AI Grant；Naval Ravikant,https://www.vcbacked.co/company/matrices,低（搜索摘要）
海外,Good Start Labs,RL 环境,种子轮,$3.6M,2025,未披露,General Catalyst；Inovia；Every；DeepMind 等实验室天使,https://every.to/on-every/our-new-incubation-raised-3-6-million-to-teach-ais-to-play-games,高（搜索摘要）
海外,Huzzle Labs,RL 环境；人类数据/专家网络,种子轮（累计）,约 $6M,未找到,未找到,10X Founders；Angel Invest；Emerge；a16z Scout Fund；Thomas Wolf,https://www.startuphub.ai/startups/labs-huzzle-com,低（搜索摘要）
海外,Origin Lab,合成数据；RL 环境（游戏世界训练数据）,种子轮,$8M,2026-05-13,Lightspeed,SV Angel；Kevin Lin；Kyle Vogt,https://www.businesswire.com/news/home/20260513129175/en/Origin-Lab-Raises-$8M-Seed-Led-by-Lightspeed-to-Build-the-Platform-Turning-Video-Game-Worlds-Into-Training-Data-for-AI,高（搜索摘要）
海外,Deep Cogito,后训练基础设施,A 轮,$43M,2026,TQ Ventures,Benchmark；Nexus Venture Partners；Zscaler,https://www.startuphub.ai/ai-news/ai-news/2026/ai-startup-trends-aug-25-2026,低（搜索摘要）
海外,Ineffable Intelligence,后训练基础设施（RL 优先实验室）,种子轮,$1.1B（估值 $5.1B）,2026-04,Lightspeed；Sequoia,NVIDIA；Google,https://www.cnbc.com/2026/04/27/deepmind-ineffable-intelligence-record-seed-funding-nvidia-google.html,中（搜索摘要）
海外,General Intuition,RL 环境（游戏视频）,种子轮,$133.7M,2025-10-16,Khosla Ventures；General Catalyst,未找到,https://techcrunch.com/2025/10/16/general-intuition-lands-134m-seed-to-teach-agents-spatial-reasoning-using-video-game-clips/,中（搜索摘要）
海外,Vals AI,评测,种子轮,$5M,2024-04,未找到,8VC；Bloomberg Beta；Sequoia；Pear VC,https://sacra.com/c/vals-ai/,低（搜索摘要）
海外,Vals AI,评测,A 轮,$40M（估值 $400M）,2026-08-13,a16z,HRT Ventures；Next Ladder Ventures；8VC；Pear VC；Bloomberg Beta,https://www.vals.ai/blogs/series-a,高（搜索摘要）
海外,Patronus AI,评测；RL 环境（数字世界模型）,A 轮,$17M,2024,未确认,Datadog 等（未完整确认）,https://www.patronus.ai/blog/announcing-our-17-million-series-a,低（搜索摘要）
海外,Patronus AI,评测；RL 环境（数字世界模型）,B 轮,$50M,2026-06-25,Greenfield Partners,Notable Capital；Lightspeed；Datadog；Samsung；Factorial Capital；Gokul Rajaram,https://www.prnewswire.com/news-releases/patronus-ai-raises-50-million-series-b-and-unveils-first-digital-world-models-for-ai-agent-training-and-simulation-302811248.html,高（搜索摘要）
海外,LMArena,评测,种子轮,$100M（估值约 $600M）,2025-05-21,a16z；UC Investments,Lightspeed；Laude Ventures；Felicis；Kleiner Perkins；The House Fund,https://www.prnewswire.com/news-releases/lmarena-secures-100m-in-seed-funding-to-bring-scientific-rigor-to-ai-reliability-302462025.html,高（搜索摘要）
海外,LMArena,评测,A 轮,$150M（投后 $1.7B）,2026-01-06,Felicis；UC Investments,a16z；The House Fund；LDVP；Kleiner Perkins；Lightspeed；Laude Ventures,https://www.prnewswire.com/news-releases/lmarena-raises-150-million-to-build-the-worlds-most-trusted-ai-evaluation-platform-302653012.html,高（搜索摘要）
海外,Gray Swan AI,评测（红队）；人类数据/专家网络,A 轮,$40M,2026-05-28,Wing VC；Madrona,Obvious Ventures；Snowflake Ventures；Hudson River Trading；Samsung Next；Magarac Venture Partners,https://www.grayswan.ai/news/gray-swan-announces-series-a,高（搜索摘要）
海外,Irregular,评测（安全）,种子+A 轮合计,$80M（估值 $450M）,2025-09-17,Sequoia；Redpoint,Swish Ventures；Assaf Rappaport 等天使,https://techcrunch.com/2025/09/17/irregular-raises-80-million-to-secure-frontier-ai-models/,高（搜索摘要）
海外,Irregular,评测（安全）,新一轮（洽谈中）,逾 $100M（估值 $1.5B）,2026-08 报道,据报 Thrive Capital；Greenoaks,未找到,https://www.calcalistech.com/ctechnews/article/13p5khsib,中（搜索摘要）
海外,Braintrust,评测,A 轮,$36M,2024-10,a16z,未找到,https://www.braintrust.dev/blog/announcing-series-b,中（搜索摘要）
海外,Braintrust,评测,B 轮,$80M（估值 $800M）,2026-02-17,ICONIQ,a16z；Greylock；Elad Gil；basecase capital,https://www.braintrust.dev/blog/announcing-series-b,高（搜索摘要）
海外,Gretel,合成数据,被 NVIDIA 收购,九位数（高于 $320M 上轮估值）,2025-03-19,NVIDIA（收购方）,此前投资方：Anthos；Greylock；Moonshots；S32；Village Global,https://siliconangle.com/2025/03/19/nvidia-reportedly-acquires-gretel-320m-strengthen-ai-training-tools/,中（搜索摘要）
海外,Haize Labs,评测（红队）,种子轮,$12.5M（投后 $100M）,2024,General Catalyst,Soma Capital；Amjad Masad；Scott Wu；Demi Guo,https://pitchbook.com/news/articles/general-catalyst-haize-labs-100-million-valuation,低（搜索摘要）
海外,Judgment Labs,评测,种子+A 轮合计,$32M,2026-05-12,Lightspeed,Nova Global；SV Angel；Valor Equity Partners；Dynamic,https://www.judgmentlabs.ai/blogs/announcing-32m-led-by-lightspeed,高（搜索摘要）
海外,Scorecard,评测,种子轮,$3.75M,2025-09-25,Kindred Ventures,Neo；Inception Studio；Tekton Ventures；OpenAI/Apple/Waymo/Uber/Perplexity/Meta 员工天使,https://www.scorecard.io/blog/scorecard-raises-3-75m-to-test-and-deploy-ai-agents-100x-faster,高（搜索摘要）
海外,Apollo Research,评测（对齐）,种子轮（转 PBC）,未披露,2026-01,50Y,Juniper Ventures；Macroscopic Ventures；Common Metal；SAIF；Sarah Meyohas；Bryan Johnson 等,https://www.apolloresearch.ai/blog/apollo-research-is-becoming-a-pbc,中（日期为低，搜索摘要）
海外,DatologyAI,合成数据/数据策展,A 轮,$46M,2024-05-08,Felicis,Radical Ventures；Amplify Partners；Elad Gil；M12；Amazon Alexa Fund,https://www.datologyai.com/blog/datologyai-raises-46m-series-a,高（搜索摘要）
海外,Coval,评测（语音 agent 仿真）,A 轮,$28M,2026-06-24,Norwest,Base10；Twilio Ventures；Y Combinator,https://www.prnewswire.com/news-releases/coval-raises-28-million-series-a-to-define-safety-and-reliability-for-autonomous-voice-agents-302808740.html,高（搜索摘要）
国内,光轮智能 Lightwheel,合成数据/具身仿真与评测,种子轮/天使轮/天使+轮,累计数千万元,2023,未披露,SEE Fund；奇绩创坛；辰韬资本；变量资本,https://www.chinaventure.com.cn/news/80-20230725-376363.html,中
国内,光轮智能 Lightwheel,合成数据/具身仿真与评测,Pre-A轮,数千万元,2024-05,经纬创投,奇绩创坛；辰韬资本,https://startup.aliyun.com/info/1085453.html,中
国内,光轮智能 Lightwheel,合成数据/具身仿真与评测,Pre-A+轮,数千万元,2024-10,北京市人工智能产业投资基金（主导）,经纬创投,https://36kr.com/p/3014453094966792,中
国内,光轮智能 Lightwheel,合成数据/具身仿真与评测,A轮及A+轮,数亿元,2025-11-19,未披露（联合投资）,东方富海；三七互娱；琥珀资本；九派资本；辰韬资本（加注）；华兴资本任独家财务顾问,https://finance.sina.com.cn/roll/2025-11-19/doc-infxyazu2920960.shtml,中
国内,光轮智能 Lightwheel,合成数据/具身仿真与评测,A++轮及A+++轮,10亿元,2026-03-11,未披露,新希望集团；鼎邦投资；奥克斯；鼎石资管；建投华科；国方创新；道禾长期投资；清新资本,https://www.jiemian.com/article/14098498.html,中
国内,光轮智能 Lightwheel,合成数据/具身仿真与评测,新一轮（媒体称B轮）,未披露；投后估值超20亿美元,2026-05-26,蚂蚁集团,建投投资；大湾区共同家园基金；森马方道基金；山东孚弘；芯能投资；临芯投资；老股东三七互娱、国方创新、道禾长期投资、鼎石资管超额跟投,https://news.pedaily.cn/202605/564400.shtml,中
国内,光轮智能 Lightwheel,合成数据/具身仿真与评测,战略融资,10亿元,2026-06-23,中关村科学城基金；四川发展科创基金；山东发展科创投（政府基金领衔）,未披露,https://finance.sina.com.cn/stock/aigcy/2026-06-26/doc-inietfxw5260308.shtml,中
国内,UniPat AI,评测/RL后训练数据,早期轮（轮次未披露）,未披露,2025末–2026,未披露,红杉中国（报道称其为原有投资者）,https://www.bloomberg.com/news/articles/2026-09-10/alibaba-backs-ex-staffer-s-ai-testing-lab-at-2-5-billion-value,低
国内,UniPat AI,评测/RL后训练数据,A轮（谈判中，未落定）,3亿美元；估值约25亿美元,2026-09-10,阿里巴巴,腾讯；红杉中国（HSG）,https://www.bloomberg.com/news/articles/2026-09-10/alibaba-backs-ex-staffer-s-ai-testing-lab-at-2-5-billion-value,中
国内,智能知识（一面千识）,专家数据/后训练数据,种子轮,未披露,2026年6月前,未披露,五源资本；奇绩创坛,https://news.qq.com/rain/a/20260608A079S700,中
国内,智能知识（一面千识）,专家数据/后训练数据,天使轮,未披露,2026-06,锦秋基金、耀途资本（联合投资）,无,https://zhuanlan.zhihu.com/p/2044128857192714401,高
国内,Copula Lab,RL环境/专家数据/评测,首轮,未披露；报道称估值数千万美元,2026-08,未披露（报道称一线机构）,未披露,https://www.preqin.com/data/profile/asset/copula-lab/813711,低
国内,TalentsAI（原壤智能）,专家数据,天使轮,未披露,未核,未披露,红杉中国等（官网另称获今日资本投资，未核）,https://vc.pedaily.cn/company/891792.html,低
国内,觅蜂科技（智元旗下）,具身数据平台,种子轮及天使轮,数亿元,2026-02-13,红杉中国,鼎晖VGC；BV百度风投；云锋基金；慕华科创；均普智能；灵初智能,https://finance.sina.com.cn/tech/2026-02-13/doc-inhmrtih2227139.shtml,中
国内,觅蜂科技（智元旗下）,具身数据平台,天使+轮,数亿元,2026-06-17,国方创投,孚腾资本；上海电科基金；元启创新；均普智能；鼎晖VGC,https://news.pedaily.cn/202606/565296.shtml,中
国内,觅蜂科技（智元旗下）,具身数据平台,新一轮,数亿元,2026-08-17,中国电信,张江集团；红杉中国；元启创新,https://finance.sina.com.cn/tech/roll/2026-08-17/doc-ininrkkm6875749.shtml,中
国内,简智机器人,具身数据,种子轮,未披露,2025-08,BV百度风投,Momenta；九识智能；星海图,https://finance.sina.com.cn/cj/2025-12-18/doc-inhcetxr8714763.shtml,中
国内,简智机器人,具身数据,种子+轮,未披露,2025,速腾聚创,BV百度风投,https://finance.sina.com.cn/cj/2025-12-18/doc-inhcetxr8714763.shtml,中
国内,简智机器人,具身数据,天使轮,三轮合计超2亿元,2025-12,顺为资本,初心资本；BV百度风投,https://www.sohu.com/a/966588070_439726,中
国内,简智机器人,具身数据,连续多轮,数亿元,2026-06-01,蚂蚁集团；滴滴；德联资本,顺为资本；BV百度风投；九识智能,https://news.pedaily.cn/202606/564671.shtml,中
国内,简智机器人,具身数据,A轮,未披露；累计融资超2亿美元,2026-08-27,Momenta,老股东,https://news.qq.com/rain/a/20260827A05L5C00,中
国内,枢途科技,具身数据,天使轮,数百万元,未核,奇绩创坛,无,https://finance.ifeng.com/c/8f4Fd8VWtiB,低
国内,枢途科技,具身数据,天使++轮,数千万元,2026,未披露,麟阁创投；深圳高新投；某手机与智驾产业方,https://news.pedaily.cn/202608/568029.shtml,低
国内,枢途科技,具身数据,Pre-A轮,近亿元,2026-09-18,鼎晖百孚；鲲鹏基金,广州产投；亿合资本；趋势投资,https://news.pedaily.cn/202609/569233.shtml,中
国内,智域基石,具身数据,天使轮,数千万元,2026-04,未披露,灵初智能；穹彻智能；浙江人形；智平方,https://finance.sina.com.cn/cj/2026-04-17/doc-inhuupte2269460.shtml,低
国内,恺望数据,具身/自动驾驶数据,Pre-A轮,数千万元,约2023,亚盛投资,未披露,https://startup.aliyun.com/info/1062313.html,中
国内,恺望数据,具身/自动驾驶数据,战略融资,逾亿元,2026-08-04,北京亦庄产业升级基金；华方资本；天际资本,新鼎资本；迈睿资管；兴华鼎立；华章投资；伦达川润；鹿明机器人；松延动力；自变量机器人；觅蜂科技；老股东亚盛、清智资本、璞跃资本,https://news.pedaily.cn/202608/567244.shtml,高
国内,博登智能 Boden AI,数据服务/Physical AI 数据,A轮,亿元,2025-06-10,国和投资（独家）,无,https://finance.sina.com.cn/jjxw/2025-06-10/doc-inezpuqn5913559.shtml,中
国内,博登智能 Boden AI,数据服务/Physical AI 数据,A+轮及A++轮,数亿元,2026-06-01,未披露（联合投资）,鼎晖百孚；清新资本；鲁信创投；深产投,https://www.chinaventure.com.cn/news/113-20260601-391660.html,中
国内,整数智能 MolarData,数据标注/数据工程,Pre-A轮,数千万元,约2023,未披露,翊宙资本；藕舫天使；安益盛银；图灵启真,https://36kr.com/p/2260278268751749,低
国内,整数智能 MolarData,数据标注/数据工程,A轮,数千万元,2024-08-12,峰瑞资本,藕舫天使,https://www.chinaventure.com.cn/news/80-20240813-382497.html,高
国内,Abaka AI（2077AI）,多模态数据/评测,A轮,800万美元；累计2000万美元,2026-05,未披露,Spinel Capital（尖晶资本）；Future Value Capital,https://finance.yahoo.com/sectors/technology/articles/abaka-ai-secures-8m-expand-140242975.html,中
国内,星尘数据 Stardust,数据标注,A轮,5000万元,2023-01-04,华映资本,厚天资本；瑞夏资本,https://www.chinaventure.com.cn/news/108-20230104-373008.html,中
国内,龙猫数据,数据采集标注,A轮,3370万元,早于2024（未核）,金沙江创投,九合创投；不惑创投,https://36kr.com/p/1721971671041,低
国内,龙猫数据,数据采集标注,Pre-B轮,3300万元,未核（搜索摘要称2026-06-17，但链接编号较早，存疑）,KIP中国,金沙江创投,https://m.pedaily.cn/news/451946,低
国内,GIM（Grace Investment Machine）,金融垂域AI（非数据，参考：金融/年轻团队）,天使轮,数千万元,2026,Monolith；五源资本（联合）,无,https://www.geekpark.net/news/361512,中
国内,GIM（Grace Investment Machine）,金融垂域AI（非数据，参考：金融/年轻团队）,天使+轮,两轮合计超1亿元,2026-06,赛富投资基金,某互联网公司CEO家族办公室,https://news.pedaily.cn/202606/564923.shtml,中
国内,语用科技（林俊旸）,大模型/Agent（非数据，参考：潜在客户）,首轮（天使）,未披露；估值20亿美元,2026-08-12,高榕创投；红杉中国,腾讯；上海未来产业基金,https://finance.sina.com.cn/jjxw/2026-08-12/doc-inimzivr7002273.shtml,中
国内,无问芯穹 Infinigence,AI基础设施,新一轮,超7亿元,2026-05-07,杭州高新金投集团；惠远资本,国兴资本；秦淮数据；中保投资；君联资本；上海国投孚腾,https://www.cls.cn/detail/2365066,中
